reuse_factor,dense_units,n_inputs,sequence_length,latency,error_percentage_latency,predicted_latency_max,lut,dsp48e,bram,ff,predicted_lut,predicted_dsp,predicted_bram,predicted_ff,error_percentage_lut,error_percentage_dsp,error_percentage_bram,error_percentage_ff
32,64,512,1,103.0,26.62581575325,75.5754097741525,286090.0,1024.0,455,114197.0,279638.053926327,1387.52,616.74,73650.9629662737,2.800323816698362,-21.037037037037035,-25.9198717948718,8.799053175721854
32,64,512,1,103.0,26.62581575325,75.5754097741525,286162.0,1024.0,455,114195.0,279638.053926327,1387.52,616.74,73650.9629662737,2.831573816698362,-21.037037037037035,-25.9198717948718,8.798619147944075
32,64,512,1,103.0,26.62581575325,75.5754097741525,286306.0,1024.0,455,114193.0,279638.053926327,1387.52,616.74,73650.9629662737,2.894073816698361,-21.037037037037035,-25.9198717948718,8.798185120166298
32,64,512,1,71.0,-6.444239118524655,75.5754097741525,286090.0,1024.0,455,114197.0,279638.053926327,1387.52,616.74,73650.9629662737,2.800323816698362,-21.037037037037035,-25.9198717948718,8.799053175721854
32,64,512,1,71.0,-6.444239118524655,75.5754097741525,286162.0,1024.0,455,114195.0,279638.053926327,1387.52,616.74,73650.9629662737,2.831573816698362,-21.037037037037035,-25.9198717948718,8.798619147944075
32,64,512,1,71.0,-6.444239118524655,75.5754097741525,286306.0,1024.0,455,114193.0,279638.053926327,1387.52,616.74,73650.9629662737,2.894073816698361,-21.037037037037035,-25.9198717948718,8.798185120166298
32,64,512,1,55.0,-37.40983595300455,75.5754097741525,286090.0,1024.0,455,114197.0,279638.053926327,1387.52,616.74,73650.9629662737,2.800323816698362,-21.037037037037035,-25.9198717948718,8.799053175721854
32,64,512,1,55.0,-37.40983595300455,75.5754097741525,286162.0,1024.0,455,114195.0,279638.053926327,1387.52,616.74,73650.9629662737,2.831573816698362,-21.037037037037035,-25.9198717948718,8.798619147944075
32,64,512,1,55.0,-37.40983595300455,75.5754097741525,286306.0,1024.0,455,114193.0,279638.053926327,1387.52,616.74,73650.9629662737,2.894073816698361,-21.037037037037035,-25.9198717948718,8.798185120166298
32,32,512,1,103.0,25.477927728578926,76.7577344395637,156594.0,512.0,228,73653.0,255053.911536688,1024.0,455.0,107032.744667871,-42.73433660446528,-29.629629629629623,-36.37820512820512,-7.243868200492838
32,32,512,1,103.0,25.477927728578926,76.7577344395637,156642.0,512.0,228,73651.6666666667,255053.911536688,1024.0,455.0,107032.744667871,-42.71350327113196,-29.629629629629623,-36.37820512820512,-7.244157552344682
32,32,512,1,103.0,25.477927728578926,76.7577344395637,156666.0,512.0,228,73651.0,255053.911536688,1024.0,455.0,107032.744667871,-42.70308660446528,-29.629629629629623,-36.37820512820512,-7.244302228270616
32,32,512,1,103.0,25.477927728578926,76.7577344395637,156810.0,512.0,228,73649.0,255053.911536688,1024.0,455.0,107032.744667871,-42.64058660446528,-29.629629629629623,-36.37820512820512,-7.244736256048394
32,32,512,1,103.0,25.477927728578926,76.7577344395637,156714.0,512.0,228,73650.3333333333,255053.911536688,1024.0,455.0,107032.744667871,-42.68225327113195,-29.629629629629623,-36.37820512820512,-7.244446904196549
32,32,512,1,81.6666666666667,6.010937420942439,76.7577344395637,156594.0,512.0,228,73653.0,255053.911536688,1024.0,455.0,107032.744667871,-42.73433660446528,-29.629629629629623,-36.37820512820512,-7.243868200492838
32,32,512,1,81.6666666666667,6.010937420942439,76.7577344395637,156642.0,512.0,228,73651.6666666667,255053.911536688,1024.0,455.0,107032.744667871,-42.71350327113196,-29.629629629629623,-36.37820512820512,-7.244157552344682
32,32,512,1,81.6666666666667,6.010937420942439,76.7577344395637,156666.0,512.0,228,73651.0,255053.911536688,1024.0,455.0,107032.744667871,-42.70308660446528,-29.629629629629623,-36.37820512820512,-7.244302228270616
32,32,512,1,81.6666666666667,6.010937420942439,76.7577344395637,156810.0,512.0,228,73649.0,255053.911536688,1024.0,455.0,107032.744667871,-42.64058660446528,-29.629629629629623,-36.37820512820512,-7.244736256048394
32,32,512,1,81.6666666666667,6.010937420942439,76.7577344395637,156714.0,512.0,228,73650.3333333333,255053.911536688,1024.0,455.0,107032.744667871,-42.68225327113195,-29.629629629629623,-36.37820512820512,-7.244446904196549
32,32,512,1,71.0,-8.109485126146064,76.7577344395637,156594.0,512.0,228,73653.0,255053.911536688,1024.0,455.0,107032.744667871,-42.73433660446528,-29.629629629629623,-36.37820512820512,-7.243868200492838
32,32,512,1,71.0,-8.109485126146064,76.7577344395637,156642.0,512.0,228,73651.6666666667,255053.911536688,1024.0,455.0,107032.744667871,-42.71350327113196,-29.629629629629623,-36.37820512820512,-7.244157552344682
32,32,512,1,71.0,-8.109485126146064,76.7577344395637,156666.0,512.0,228,73651.0,255053.911536688,1024.0,455.0,107032.744667871,-42.70308660446528,-29.629629629629623,-36.37820512820512,-7.244302228270616
