reuse_factor,lstm_units,n_inputs,sequence_length,latency,error_percentage_latency,predicted_latency_max,lut,dsp48e,bram,ff,predicted_lut,predicted_dsp,predicted_bram,predicted_ff,error_percentage_lut,error_percentage_dsp,error_percentage_bram,error_percentage_ff
32,16,16,32,1933.8,-1.630105452631089,1965.32297924298,55736.4,112.0,61,19522.4,55790.3900074074,112.0,61.0,19508.1228365079,-0.0234331629372377,0.0,0.0,0.0030983427717232
32,16,16,32,1933.8,-1.630105452631089,1965.32297924298,55801.8,112.0,61,19504.7,55790.3900074074,112.0,61.0,19508.1228365079,0.0049522537294295,0.0,0.0,-0.0007428030616101
32,16,16,32,1933.8,-1.630105452631089,1965.32297924298,55873.0,112.0,61,19504.25,55790.3900074074,112.0,61.0,19508.1228365079,0.035855031507206,0.0,0.0,-0.0008404593116103
32,16,16,32,1933.8,-1.630105452631089,1965.32297924298,55737.6666666667,112.0,61,19524.6666666667,55790.3900074074,112.0,61.0,19508.1228365079,-0.0228833944187051,0.0,0.0,0.0035902409198784
32,16,16,32,1933.8,-1.630105452631089,1965.32297924298,55843.4,112.0,61,19504.4,55790.3900074074,112.0,61.0,19508.1228365079,0.0230078092849844,0.0,0.0,-0.0008079072282767
32,16,16,32,1933.8,-1.630105452631089,1965.32297924298,55801.8,112.0,61,19503.8,55790.3900074074,112.0,61.0,19508.1228365079,0.0049522537294295,0.0,0.0,-0.0009381155616105
32,16,16,32,1953.0,-0.6309769197634385,1965.32297924298,55736.4,112.0,61,19522.4,55790.3900074074,112.0,61.0,19508.1228365079,-0.0234331629372377,0.0,0.0,0.0030983427717232
32,16,16,32,1953.0,-0.6309769197634385,1965.32297924298,55801.8,112.0,61,19504.7,55790.3900074074,112.0,61.0,19508.1228365079,0.0049522537294295,0.0,0.0,-0.0007428030616101
32,16,16,32,1953.0,-0.6309769197634385,1965.32297924298,55873.0,112.0,61,19504.25,55790.3900074074,112.0,61.0,19508.1228365079,0.035855031507206,0.0,0.0,-0.0008404593116103
32,16,16,32,1953.0,-0.6309769197634385,1965.32297924298,55737.6666666667,112.0,61,19524.6666666667,55790.3900074074,112.0,61.0,19508.1228365079,-0.0228833944187051,0.0,0.0,0.0035902409198784
32,16,16,32,1953.0,-0.6309769197634385,1965.32297924298,55843.4,112.0,61,19504.4,55790.3900074074,112.0,61.0,19508.1228365079,0.0230078092849844,0.0,0.0,-0.0008079072282767
32,16,16,32,1953.0,-0.6309769197634385,1965.32297924298,55801.8,112.0,61,19503.8,55790.3900074074,112.0,61.0,19508.1228365079,0.0049522537294295,0.0,0.0,-0.0009381155616105
32,16,16,32,1931.66666666667,-1.7423457761679018,1965.32297924298,55736.4,112.0,61,19522.4,55790.3900074074,112.0,61.0,19508.1228365079,-0.0234331629372377,0.0,0.0,0.0030983427717232
32,16,16,32,1931.66666666667,-1.7423457761679018,1965.32297924298,55801.8,112.0,61,19504.7,55790.3900074074,112.0,61.0,19508.1228365079,0.0049522537294295,0.0,0.0,-0.0007428030616101
32,16,16,32,1931.66666666667,-1.7423457761679018,1965.32297924298,55873.0,112.0,61,19504.25,55790.3900074074,112.0,61.0,19508.1228365079,0.035855031507206,0.0,0.0,-0.0008404593116103
32,16,16,32,1931.66666666667,-1.7423457761679018,1965.32297924298,55737.6666666667,112.0,61,19524.6666666667,55790.3900074074,112.0,61.0,19508.1228365079,-0.0228833944187051,0.0,0.0,0.0035902409198784
32,16,16,32,1931.66666666667,-1.7423457761679018,1965.32297924298,55843.4,112.0,61,19504.4,55790.3900074074,112.0,61.0,19508.1228365079,0.0230078092849844,0.0,0.0,-0.0008079072282767
32,16,16,32,1931.66666666667,-1.7423457761679018,1965.32297924298,55801.8,112.0,61,19503.8,55790.3900074074,112.0,61.0,19508.1228365079,0.0049522537294295,0.0,0.0,-0.0009381155616105
32,32,16,32,1942.33333333333,-0.1998052044254301,1946.21421642062,116715.0,288.0,151,44449.3333333333,116981.228666666,289.28,151.56,44524.3948809524,-0.1155506365737816,-0.0740740740740725,-0.0897435897435901,-0.0162893983548397
32,32,16,32,1942.33333333333,-0.1998052044254301,1946.21421642062,116672.0,288.0,151,44430.0,116981.228666666,289.28,151.56,44524.3948809524,-0.1342138310182261,-0.0740740740740725,-0.0897435897435901,-0.0204850002066842
32,32,16,32,1942.33333333333,-0.1998052044254301,1946.21421642062,116715.0,288.0,151,44450.3333333333,116981.228666666,289.28,151.56,44524.3948809524,-0.1155506365737816,-0.0740740740740725,-0.0897435897435901,-0.0160723844659508
32,32,16,32,1942.33333333333,-0.1998052044254301,1946.21421642062,116554.666666667,288.0,151,44430.0,116981.228666666,289.28,151.56,44524.3948809524,-0.1851397569440046,-0.0740740740740725,-0.0897435897435901,-0.0204850002066842
32,32,16,32,1953.0,0.3474543563430617,1946.21421642062,116715.0,288.0,151,44449.3333333333,116981.228666666,289.28,151.56,44524.3948809524,-0.1155506365737816,-0.0740740740740725,-0.0897435897435901,-0.0162893983548397
32,32,16,32,1953.0,0.3474543563430617,1946.21421642062,116672.0,288.0,151,44430.0,116981.228666666,289.28,151.56,44524.3948809524,-0.1342138310182261,-0.0740740740740725,-0.0897435897435901,-0.0204850002066842
32,32,16,32,1953.0,0.3474543563430617,1946.21421642062,116715.0,288.0,151,44450.3333333333,116981.228666666,289.28,151.56,44524.3948809524,-0.1155506365737816,-0.0740740740740725,-0.0897435897435901,-0.0160723844659508
