model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_resource,n_inputs_resources,sequence_length_resource,lstm_size,bram_18k,lut,ff,dsp48e
4141,Not Fit,8,16,16,32,64,8,53,38081.3333333333,15332,104
18254,Not Fit,8,16,16,32,64,16,119,77683,32836,240
10280,Not Fit,8,16,16,32,128,8,53,38092.3333333333,15339,104
11460,Not Fit,15,32,32,8,8,8,25,31001.8181818182,8551.90909090909,40
13548,Not Fit,15,32,32,8,16,8,25,30819.3636363636,8554.18181818182,40
2347,Not Fit,15,32,32,8,32,8,25,31423.5333333333,8556,40
15126,Not Fit,9,32,32,8,64,8,25,30988.3333333333,8558.19047619048,40
971,Not Fit,9,32,32,8,128,8,25,29936.3333333333,8560,40
42704,Not Fit,14,32,32,16,8,8,28,30181.2,9676,48
22406,Not Fit,14,32,32,16,8,16,61,55741,19532,112
7605,Not Fit,14,32,32,16,8,32,151,116279.4,44473,288
36217,Fit,14,32,32,16,8,8,28,29834.2,9661.4,48
7098,Not Fit,15,32,32,16,8,16,61,55822.8,19500.7,112
23185,Not Fit,14,32,32,16,8,32,151,117661,44426,288
27026,Not Fit,15,32,32,16,8,16,61,55806,19500.5,112
43847,Not Fit,14,32,32,16,16,8,28,29994.3333333333,9678,48
13247,Not Fit,14,32,32,16,16,16,61,55736.4,19521,112
38263,Not Fit,14,32,32,16,16,32,151,116560.5,44457,288
32562,Not Fit,14,32,32,16,16,8,28,29818,9663,48
38789,Not Fit,15,32,32,16,16,16,61,55803.6666666667,19502.75,112
12564,Not Fit,14,32,32,16,16,32,151,117109.333333333,44428,288
18573,Not Fit,15,32,32,16,16,16,61,55823.6666666667,19502,112
39078,Not Fit,8,32,32,16,32,8,28,29813,9680,48
31983,Not Fit,8,32,32,16,32,16,61,55736.4,19522.4,112
17836,Not Fit,8,32,32,16,32,32,151,116715,44449.3333333333,288
37282,Not Fit,8,32,32,16,32,8,28,30262,9665.5,48
3774,Not Fit,9,32,32,16,32,16,61,55801.8,19504.7,112
31386,Not Fit,8,32,32,16,32,32,151,116672,44430,288
26571,Not Fit,9,32,32,16,32,16,61,55873,19504.25,112
28906,Not Fit,14,32,32,16,32,8,28,29822.1428571429,9680.28571428571,48
4211,Not Fit,14,32,32,16,32,16,61,55737.6666666667,19524.6666666667,112
34421,Not Fit,14,32,32,16,32,32,151,116715,44450.3333333333,288
26659,Not Fit,14,32,32,16,32,8,28,30262,9665.5,48
30207,Not Fit,15,32,32,16,32,16,61,55843.4,19504.4,112
4856,Not Fit,14,32,32,16,32,32,151,116554.666666667,44430,288
9553,Not Fit,15,32,32,16,32,16,61,55801.8,19503.8,112
2603,Not Fit,5,32,32,16,64,8,28,29877,9682.5,48
13918,Not Fit,5,32,32,16,64,16,61,55734.5,19522.5,112
15557,Not Fit,5,32,32,16,64,8,28,29837.2,9667,48
1658,Not Fit,6,32,32,16,64,16,61,55783.6666666667,19505.6666666667,112
41629,Not Fit,8,32,32,16,64,8,28,29637,9682,48
1228,Not Fit,8,32,32,16,64,16,61,55737.6666666667,19527.6666666667,112
33755,Not Fit,8,32,32,16,64,8,28,29638,9667,48
13466,Not Fit,9,32,32,16,64,16,61,55769,19506,112
25604,Not Fit,8,32,32,16,128,8,28,29400.0769230769,9677.23076923077,48
23186,Not Fit,15,32,32,32,8,32,179,123496,48463,352
19324,Not Fit,14,32,32,32,8,8,35,31459.4,10790,64
1369,Not Fit,14,32,32,32,8,16,76,58756.6666666667,22756.6666666667,144
27684,Not Fit,14,32,32,32,8,32,179,122392.5,48493.5,352
11459,Not Fit,14,32,32,32,8,8,35,31426,10775,64
27027,Not Fit,14,32,32,32,8,16,76,58828,22737,144
1980,Not Fit,15,32,32,32,8,32,179,122766.4,48463,352
12565,Not Fit,15,32,32,32,16,32,179,122944.333333333,48466,352
17110,Not Fit,14,32,32,32,16,8,35,31445.3333333333,10792,64
45600,Not Fit,14,32,32,32,16,16,76,58760.5714285714,22759.2857142857,144
2923,Not Fit,14,32,32,32,16,32,179,122302.6,48499.2,352
13547,Not Fit,14,32,32,32,16,8,35,31232.2,10777,64
18574,Not Fit,14,32,32,32,16,16,76,58845.6666666667,22737,144
32398,Not Fit,15,32,32,32,16,32,179,122961.4,48465,352
31387,Not Fit,9,32,32,32,32,32,179,122507,48467,352
20794,Not Fit,8,32,32,32,32,8,35,31424,10794,64
8711,Not Fit,8,32,32,32,32,16,76,58761.25,22763.25,144
37881,Not Fit,8,32,32,32,32,32,179,122859,48467,352
9060,Fit,8,32,32,32,32,8,35,31429,10780.3333333333,64
26572,Not Fit,8,32,32,32,32,16,76,58895,22739.25,144
4857,Not Fit,15,32,32,32,32,32,179,122456.714285714,48467.4285714286,352
9651,Not Fit,14,32,32,32,32,8,35,31424,10794,64
24498,Not Fit,14,32,32,32,32,16,76,58758.4,22758.6,144
