model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_resource,n_inputs_resources,sequence_length_resource,lstm_size,bram_18k,lut,ff,dsp48e
47248,Fit,14,512,512,16,16,8,21,21039.5,8646.5,26
28451,Fit,15,512,512,16,16,16,37,35404.3333333333,14583,52
4903,Not Fit,14,512,512,16,16,32,73,75868.6666666667,32777,108
39753,Not Fit,15,512,512,16,16,16,37,35404.3333333333,14583,52
11766,Fit,8,512,512,16,32,8,21,21125.5714285714,8662.28571428571,26
44464,Fit,8,512,512,16,32,16,37,35391,14585,52
951,Not Fit,8,512,512,16,32,32,73,75685.2857142857,32800.7142857143,108
44371,Fit,8,512,512,16,32,8,21,21038.5,8647.5,26
19397,Fit,9,512,512,16,32,16,37,35466,14585,52
37008,Not Fit,8,512,512,16,32,32,73,74586,32779,108
45345,Fit,9,512,512,16,32,16,37,35404.3333333333,14585,52
37966,Fit,14,512,512,16,32,8,21,21169.8,8664,26
2403,Fit,14,512,512,16,32,16,37,35404.3333333333,14585,52
31199,Not Fit,14,512,512,16,32,32,73,75879.6,32803.2,108
23011,Fit,14,512,512,16,32,8,21,21130,8649,26
34513,Fit,15,512,512,16,32,16,37,35404.6666666667,14585.1666666667,52
49221,Not Fit,14,512,512,16,32,32,73,75896.4,32779,108
46704,Fit,15,512,512,16,32,16,37,35391,14585,52
28472,Fit,5,512,512,16,64,8,21,21130,8665.66666666667,26
47371,Fit,5,512,512,16,64,16,37,35541,14587,52
6080,Not Fit,5,512,512,16,64,32,73,75199.5,32796.5,108
35143,Fit,5,512,512,16,64,8,21,21112.6666666667,8649.66666666667,26
2388,Not Fit,6,512,512,16,64,16,37,35333.8571428571,14587,52
38566,Not Fit,5,512,512,16,64,32,73,75158,32781,108
48095,Not Fit,6,512,512,16,64,16,37,35391,14587,52
47005,Fit,8,512,512,16,64,8,21,21124,8665,26
24445,Not Fit,8,512,512,16,64,16,37,35404.3333333333,14587,52
49280,Not Fit,8,512,512,16,64,32,73,75022.6666666667,32801.6666666667,108
5283,Fit,8,512,512,16,64,8,21,21113.6666666667,8650.66666666667,26
46135,Not Fit,9,512,512,16,64,16,37,35391,14587,52
31457,Not Fit,8,512,512,16,64,32,73,75348.6666666667,32781,108
3186,Not Fit,9,512,512,16,64,16,37,35503,14587,52
43800,Fit,5,512,512,16,128,8,21,21126.5,8667.5,26
30240,Not Fit,5,512,512,16,128,16,37,35133,14589,52
34754,Not Fit,5,512,512,16,128,8,21,21115,8652,26
9254,Not Fit,6,512,512,16,128,16,37,35101.5714285714,14589,52
45939,Fit,8,512,512,16,128,8,21,21081,8666,26
44278,Not Fit,8,512,512,16,128,16,37,35059.6666666667,14589,52
20100,Not Fit,8,512,512,16,128,8,21,21263.5,8652.5,26
42751,Not Fit,9,512,512,16,128,16,37,35164.7142857143,14589.1428571429,52
33485,Not Fit,5,512,512,16,256,8,21,20976.3333333333,8659.66666666667,26
44394,Not Fit,15,512,512,32,8,32,75,77345,25849,112
44623,Fit,14,512,512,32,8,8,21,20515.5,8506.5,27
1918,Fit,14,512,512,32,8,16,38,36517.2857142857,15059.2857142857,54
49556,Fit,14,512,512,32,8,32,75,76971,25849,112
15394,Fit,14,512,512,32,8,8,21,20410.7142857143,8491.14285714286,27
35065,Fit,14,512,512,32,8,16,38,36510,15037.6666666667,54
20758,Not Fit,15,512,512,32,8,32,75,76640.7142857143,25848.5714285714,112
4904,Not Fit,15,512,512,32,16,32,75,76883.3333333333,25851,112
10447,Fit,14,512,512,32,16,8,21,20473,8508,27
42933,Fit,14,512,512,32,16,16,38,36425.6666666667,15059.6666666667,54
26170,Not Fit,14,512,512,32,16,32,75,76883.3333333333,25850.5,112
15102,Fit,14,512,512,32,16,8,21,20419.3333333333,8492.66666666667,27
39754,Not Fit,14,512,512,32,16,16,38,36511.6666666667,15039.5,54
14963,Not Fit,15,512,512,32,16,32,75,76883.3333333333,25851,112
37009,Not Fit,9,512,512,32,32,32,75,75206,25853,112
34968,Fit,8,512,512,32,32,8,21,20495.8,8510.6,27
40998,Fit,8,512,512,32,32,16,38,36425.6666666667,15061.6666666667,54
47164,Not Fit,8,512,512,32,32,32,75,76838,25852.25,112
49326,Fit,8,512,512,32,32,8,21,20428.4,8495.2,27
45346,Fit,8,512,512,32,32,16,38,36511.6666666667,15041,54
49222,Not Fit,15,512,512,32,32,32,75,76894,25852.4705882353,112
18200,Fit,14,512,512,32,32,8,21,20472.75,8509.75,27
12246,Fit,14,512,512,32,32,16,38,36425.6666666667,15062.1666666667,54
42771,Not Fit,14,512,512,32,32,32,75,76883.3333333333,25853,112
46089,Fit,14,512,512,32,32,8,21,20428.4,8495.2,27
46705,Fit,14,512,512,32,32,16,38,36493,15042,54
10079,Not Fit,15,512,512,32,32,32,75,76883.3333333333,25853,112
38567,Not Fit,6,512,512,32,64,32,75,75954,25855,112
5805,Fit,5,512,512,32,64,8,21,20482.7142857143,8511.85714285714,27
23688,Not Fit,5,512,512,32,64,16,38,36425.6666666667,15064.6666666667,54
43294,Not Fit,5,512,512,32,64,32,75,75704.6666666667,25854,112
11664,Fit,5,512,512,32,64,8,21,20419.3333333333,8496.66666666667,27
48096,Not Fit,5,512,512,32,64,16,38,36493,15044,54
31458,Not Fit,9,512,512,32,64,32,75,76022,25853.9090909091,112
47538,Fit,8,512,512,32,64,8,21,20555,8511,27
46893,Fit,8,512,512,32,64,16,38,36274.5,15058.75,54
10389,Not Fit,8,512,512,32,64,32,75,76103.6,25854.4,112
28884,Fit,8,512,512,32,64,8,21,20419.6666666667,8497,27
3187,Not Fit,8,512,512,32,64,16,38,36649.8,15044,54
43028,Not Fit,9,512,512,32,64,32,75,76203.3333333333,25855,112
44567,Fit,5,512,512,32,128,8,21,20364,8514,27
40722,Not Fit,5,512,512,32,128,16,38,36096.5,15061.5,54
12056,Not Fit,5,512,512,32,128,8,21,20415.1428571429,8498.57142857143,27
9255,Not Fit,5,512,512,32,128,16,38,36028.3333333333,15046,54
48079,Fit,8,512,512,32,128,8,21,20430.5,8514.5,27
39549,Not Fit,8,512,512,32,128,16,38,36096.5,15060,54
41923,Not Fit,8,512,512,32,128,8,21,20422.3333333333,8499.66666666667,27
42752,Not Fit,8,512,512,32,128,16,38,36131,15045.25,54
7119,Fit,5,512,512,32,256,8,21,20406,8515,27
42118,Not Fit,5,512,512,32,256,8,21,20406,8515,27
37510,Not Fit,5,512,512,32,256,8,21,20029,8502,27
26329,Not Fit,5,512,512,32,256,8,21,20381,8502,27
2371,Not Fit,5,512,512,32,256,8,21,20029,8502,27
13097,Not Fit,5,512,512,32,256,8,21,20379,8500,27
