model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_dense_latency,n_inputs_latency,sequence_length_latency,dense_size_latency,reuse_factor_1,latency_min,latency_max
19005,Not Fit,17,1,1,16,1,16,1,11,11
43119,Not Fit,18,1,1,16,1,1,1,11,11
43113,Not Fit,16,1,1,64,1,16,1,44,44
19001,Not Fit,15,1,1,128,1,16,1,76,76
16932,Not Fit,17,2,2,16,1,16,2,6,7
16934,Not Fit,19,2,2,16,1,1,2,6,7
49191,Not Fit,21,2,2,16,1,16,2,6,7
30546,Not Fit,17,2,2,16,1,1,2,6,7
16217,Not Fit,21,2,2,16,1,16,2,6,7
16219,Not Fit,23,2,2,16,1,1,2,6,7
32949,Not Fit,18,2,2,16,1,16,2,6,7
32951,Not Fit,20,2,2,16,1,1,2,6,7
39433,Not Fit,18,2,2,16,1,16,2,6,7
18758,Not Fit,19,2,2,16,1,1,2,6,7
22562,Not Fit,23,2,2,16,1,16,2,6,7
36989,Not Fit,18,2,2,16,1,1,2,6,7
8451,Not Fit,22,2,2,16,1,16,2,6,7
46860,Not Fit,19,2,2,16,1,1,2,6,7
19927,Not Fit,19,2,2,16,1,16,2,6,7
19929,Not Fit,21,2,2,16,1,1,2,6,7
1393,Not Fit,18,2,2,32,1,1,2,6,7
27703,Not Fit,19,2,2,32,1,32,2,6,7
31961,Not Fit,19,2,2,32,1,1,2,6,7
1387,Not Fit,16,2,2,64,1,32,2,16,17
18751,Not Fit,17,2,2,64,1,16,2,16,17
27702,Not Fit,17,2,2,64,1,32,2,16,17
22556,Not Fit,17,2,2,64,1,16,2,16,17
29529,Not Fit,15,2,2,128,1,32,2,16,17
16928,Not Fit,15,2,2,128,1,16,2,16,17
8980,Not Fit,15,2,2,128,1,32,2,16,17
30541,Not Fit,15,2,2,128,1,16,2,16,17
47799,Not Fit,15,2,2,128,1,32,2,16,17
46853,Not Fit,17,2,2,128,1,16,2,20.8,21.8
31954,Not Fit,17,2,2,128,1,32,2,24,25
19921,Not Fit,17,2,2,128,1,16,2,24,25
40223,Not Fit,12,4,4,16,1,16,4,9,10
15617,Not Fit,13,4,4,16,1,1,4,9,10
30777,Not Fit,17,4,4,16,1,16,4,9,10
45978,Not Fit,13,4,4,16,1,1,4,9,10
16331,Not Fit,13,4,4,16,1,16,4,9,10
10599,Not Fit,17,4,4,16,1,1,4,9,10
36108,Not Fit,21,4,4,16,1,16,4,9,10
27843,Not Fit,17,4,4,16,1,1,4,9,10
13188,Not Fit,21,4,4,16,1,16,4,9,10
13190,Not Fit,23,4,4,16,1,1,4,9,10
39726,Not Fit,17,4,4,16,1,16,4,9,10
25822,Not Fit,18,4,4,16,1,1,4,9,10
19514,Not Fit,22,4,4,16,1,16,4,9,10
31135,Not Fit,18,4,4,16,1,1,4,9,10
15732,Not Fit,22,4,4,16,1,16,4,9,10
15735,Not Fit,24,4,4,16,1,1,4,9,10
41660,Not Fit,18,4,4,16,1,16,4,9,10
41662,Not Fit,20,4,4,16,1,1,4,9,10
8729,Not Fit,19,4,4,16,1,16,4,9,10
22058,Not Fit,19,4,4,16,1,1,4,9,10
17785,Not Fit,23,4,4,16,1,16,4,9,10
1531,Not Fit,19,4,4,16,1,1,4,9,10
38234,Not Fit,23,4,4,16,1,16,4,9,10
38236,Not Fit,25,4,4,16,1,1,4,9,10
6170,Not Fit,17,4,4,16,1,16,4,9,10
29749,Not Fit,17,4,4,16,1,1,4,9,10
15300,Not Fit,21,4,4,16,1,16,4,9,10
15302,Not Fit,23,4,4,16,1,1,4,9,10
22113,Not Fit,18,4,4,16,1,16,4,9,10
27529,Not Fit,18,4,4,16,1,1,4,9,10
12468,Not Fit,22,4,4,16,1,16,4,9,10
38462,Not Fit,18,4,4,16,1,1,4,9,10
2107,Not Fit,22,4,4,16,1,16,4,9,10
43485,Not Fit,19,4,4,16,1,1,4,9,10
12511,Not Fit,19,4,4,16,1,16,4,9,10
12513,Not Fit,21,4,4,16,1,1,4,9,10
40856,Not Fit,17,4,4,32,1,32,4,8,9
40861,Not Fit,19,4,4,32,1,1,4,8,9
18663,Not Fit,17,4,4,32,1,32,4,8,9
5841,Not Fit,17,4,4,32,1,1,4,8,9
34912,Not Fit,21,4,4,32,1,32,4,8,9
34917,Not Fit,23,4,4,32,1,1,4,8,9
13928,Not Fit,18,4,4,32,1,32,4,8,9
13934,Not Fit,20,4,4,32,1,1,4,8,9
21316,Not Fit,18,4,4,32,1,32,4,8,9
41901,Not Fit,19,4,4,32,1,1,4,8,9
3413,Not Fit,23,4,4,32,1,32,4,8,9
12283,Not Fit,18,4,4,32,1,1,4,8,9
43559,Not Fit,18,4,4,32,1,32,4,8,9
43565,Not Fit,20,4,4,32,1,1,4,8,9
27399,Not Fit,22,4,4,32,1,32,4,8,9
27405,Not Fit,24,4,4,32,1,1,4,8,9
48744,Not Fit,23,4,4,32,1,32,4,8,9
48751,Not Fit,25,4,4,32,1,1,4,8,9
41479,Not Fit,17,4,4,64,1,1,4,8,9
25816,Not Fit,16,4,4,64,1,16,4,18,19
33458,Not Fit,16,4,4,64,1,64,4,18,19
33463,Not Fit,18,4,4,64,1,1,4,8,9
13927,Not Fit,16,4,4,64,1,32,4,18,19
19507,Not Fit,16,4,4,64,1,16,4,18,19
41894,Not Fit,17,4,4,64,1,32,4,18,19
8723,Not Fit,17,4,4,64,1,16,4,18,19
3410,Not Fit,17,4,4,64,1,32,4,18,19
38230,Not Fit,17,4,4,64,1,16,4,18,19
10594,Not Fit,15,4,4,128,1,16,4,18,19
16381,Not Fit,15,4,4,128,1,64,4,18,19
40855,Not Fit,15,4,4,128,1,32,4,18,19
27838,Not Fit,15,4,4,128,1,16,4,18,19
41475,Not Fit,15,4,4,128,1,64,4,18,19
18662,Not Fit,15,4,4,128,1,32,4,18,19
13182,Not Fit,15,4,4,128,1,16,4,18,19
5836,Not Fit,15,4,4,128,1,32,4,18,19
39722,Not Fit,15,4,4,128,1,16,4,18,19
34909,Not Fit,15,4,4,128,1,32,4,18,19
31130,Not Fit,16,4,4,128,1,16,4,18,19
21314,Not Fit,16,4,4,128,1,32,4,18,19
22053,Not Fit,17,4,4,128,1,16,4,18,19
43581,Not Fit,17,4,4,128,1,32,4,18,19
17781,Not Fit,17,4,4,128,1,16,4,18,19
12277,Not Fit,16,4,4,128,1,32,4,26,27
22108,Not Fit,16,4,4,128,1,16,4,26,27
27396,Not Fit,16,4,4,128,1,32,4,26,27
7736,Not Fit,17,4,4,128,1,16,4,26,27
48741,Not Fit,17,4,4,128,1,32,4,26,27
32042,Not Fit,16,4,4,128,1,16,4,26,27
12505,Not Fit,17,4,4,256,1,16,4,34,35
44312,Not Fit,8,16,16,16,1,1,16,21,22
10879,Not Fit,12,16,16,16,1,16,16,20,21
38302,Not Fit,8,16,16,16,1,1,16,21,22
7458,Not Fit,8,16,16,16,1,16,16,20,21
42146,Fit,9,16,16,16,1,1,16,21,22
13877,Fit,13,16,16,16,1,16,16,20,21
47200,Fit,10,16,16,16,1,1,16,21,22
17598,Not Fit,14,16,16,16,1,16,16,20,21
20407,Not Fit,10,16,16,16,1,1,16,21,22
49669,Fit,9,16,16,16,1,16,16,20,21
49671,Fit,11,16,16,16,1,1,16,21,22
32795,Not Fit,13,16,16,16,1,16,16,20,21
32797,Not Fit,15,16,16,16,1,1,16,21,22
41118,Not Fit,14,16,16,16,1,16,16,20,21
41120,Not Fit,16,16,16,16,1,1,16,21,22
8285,Not Fit,10,16,16,16,1,16,16,20,21
20594,Fit,11,16,16,16,1,1,16,21,22
31319,Fit,11,16,16,16,1,16,16,20,21
31321,Fit,13,16,16,16,1,1,16,21,22
46013,Fit,15,16,16,16,1,16,16,20,21
2421,Fit,11,16,16,16,1,1,16,21,22
32518,Fit,11,16,16,16,1,16,16,20,21
48601,Fit,11,16,16,16,1,1,16,21,22
3203,Fit,15,16,16,16,1,16,16,20,21
17030,Fit,12,16,16,16,1,1,16,21,22
28778,Fit,12,16,16,16,1,16,16,20,21
28780,Fit,14,16,16,16,1,1,16,21,22
47331,Fit,16,16,16,16,1,16,16,20,21
47333,Fit,18,16,16,16,1,1,16,21,22
22773,Not Fit,16,16,16,16,1,16,16,20,21
22775,Not Fit,18,16,16,16,1,1,16,21,22
13447,Not Fit,12,16,16,16,1,16,16,20,21
13651,Fit,13,16,16,16,1,1,16,21,22
26729,Fit,13,16,16,16,1,16,16,20,21
26731,Fit,15,16,16,16,1,1,16,21,22
42483,Fit,17,16,16,16,1,16,16,20,21
26112,Not Fit,13,16,16,16,1,1,16,21,22
14206,Not Fit,13,16,16,16,1,16,16,20,21
14208,Not Fit,15,16,16,16,1,1,16,21,22
45326,Not Fit,13,16,16,16,1,16,16,20,21
45328,Not Fit,15,16,16,16,1,1,16,21,22
22037,Not Fit,17,16,16,16,1,16,16,20,21
38668,Not Fit,11,16,16,16,1,1,16,21,22
6768,Not Fit,11,16,16,16,1,16,16,20,21
22824,Not Fit,11,16,16,16,1,1,16,21,22
42322,Not Fit,11,16,16,16,1,16,16,20,21
42325,Not Fit,13,16,16,16,1,1,16,21,22
26610,Not Fit,15,16,16,16,1,16,16,20,21
40903,Fit,12,16,16,16,1,1,16,21,22
9864,Not Fit,12,16,16,16,1,16,16,20,21
9867,Not Fit,14,16,16,16,1,1,16,21,22
2324,Not Fit,16,16,16,16,1,16,16,20,21
2327,Not Fit,18,16,16,16,1,1,16,21,22
37083,Not Fit,12,16,16,16,1,16,16,20,21
32312,Not Fit,13,16,16,16,1,1,16,21,22
2201,Not Fit,13,16,16,16,1,16,16,20,21
2543,Not Fit,13,16,16,16,1,1,16,21,22
37523,Not Fit,13,16,16,16,1,16,16,20,21
37526,Not Fit,15,16,16,16,1,1,16,21,22
33632,Fit,21,16,16,16,1,16,16,20,21
33634,Fit,23,16,16,16,1,1,16,21,22
44852,Fit,17,16,16,16,1,16,16,20,21
44854,Fit,19,16,16,16,1,1,16,21,22
22611,Fit,21,16,16,16,1,16,16,20,21
26899,Fit,17,16,16,16,1,1,16,21,22
13744,Fit,17,16,16,16,1,16,16,20,21
13746,Fit,19,16,16,16,1,1,16,21,22
37192,Fit,22,16,16,16,1,16,16,20,21
2247,Fit,18,16,16,16,1,1,16,21,22
32451,Fit,18,16,16,16,1,16,16,20,21
32453,Fit,20,16,16,16,1,1,16,21,22
3390,Not Fit,22,16,16,16,1,16,16,20,21
3392,Not Fit,24,16,16,16,1,1,16,21,22
39691,Fit,23,16,16,16,1,16,16,20,21
39693,Fit,25,16,16,16,1,1,16,21,22
2618,Not Fit,23,16,16,16,1,16,16,20,21
1637,Not Fit,19,16,16,16,1,1,16,21,22
33070,Not Fit,19,16,16,16,1,16,16,20,21
43385,Not Fit,17,16,16,16,1,1,16,21,22
14937,Not Fit,21,16,16,16,1,16,16,20,21
14942,Not Fit,23,16,16,16,1,1,16,21,22
2299,Not Fit,21,16,16,16,1,16,16,20,21
44837,Not Fit,18,16,16,16,1,1,16,21,22
12591,Not Fit,22,16,16,16,1,16,16,20,21
22594,Not Fit,18,16,16,16,1,1,16,21,22
12638,Not Fit,18,16,16,16,1,16,16,20,21
12643,Not Fit,20,16,16,16,1,1,16,21,22
42376,Not Fit,18,16,16,16,1,16,16,20,21
42381,Not Fit,20,16,16,16,1,1,16,21,22
26931,Not Fit,22,16,16,16,1,16,16,20,21
26936,Not Fit,24,16,16,16,1,1,16,21,22
21698,Not Fit,23,16,16,16,1,16,16,20,21
21703,Not Fit,25,16,16,16,1,1,16,21,22
42985,Not Fit,19,16,16,16,1,16,16,20,21
42990,Not Fit,21,16,16,16,1,1,16,21,22
26235,Not Fit,23,16,16,16,1,16,16,20,21
26240,Not Fit,25,16,16,16,1,1,16,21,22
13114,Not Fit,19,16,16,16,1,16,16,20,21
13119,Not Fit,21,16,16,16,1,1,16,21,22
11939,Not Fit,13,16,16,16,1,16,16,20,21
45730,Not Fit,10,16,16,16,1,1,16,21,22
19646,Not Fit,14,16,16,16,1,16,16,20,21
19648,Not Fit,16,16,16,16,1,1,16,21,22
36759,Not Fit,13,16,16,16,1,16,16,20,21
36761,Not Fit,15,16,16,16,1,1,16,21,22
38057,Not Fit,14,16,16,16,1,16,16,20,21
16762,Not Fit,11,16,16,16,1,1,16,21,22
29221,Not Fit,11,16,16,16,1,16,16,20,21
46150,Not Fit,11,16,16,16,1,1,16,21,22
19851,Not Fit,15,16,16,16,1,16,16,20,21
18893,Not Fit,11,16,16,16,1,1,16,21,22
27305,Not Fit,11,16,16,16,1,16,16,20,21
27307,Not Fit,13,16,16,16,1,1,16,21,22
48034,Not Fit,15,16,16,16,1,16,16,20,21
19061,Fit,12,16,16,16,1,1,16,21,22
31942,Fit,12,16,16,16,1,16,16,20,21
31944,Fit,14,16,16,16,1,1,16,21,22
45885,Not Fit,16,16,16,16,1,16,16,20,21
41748,Not Fit,12,16,16,16,1,1,16,21,22
8015,Not Fit,12,16,16,16,1,16,16,20,21
11735,Not Fit,13,16,16,16,1,1,16,21,22
23800,Not Fit,13,16,16,16,1,16,16,20,21
23802,Not Fit,15,16,16,16,1,1,16,21,22
44769,Not Fit,17,16,16,16,1,16,16,20,21
44771,Not Fit,19,16,16,16,1,1,16,21,22
37862,Not Fit,17,16,16,16,1,16,16,20,21
37849,Not Fit,12,16,16,16,1,1,16,21,22
7725,Not Fit,12,16,16,16,1,16,16,20,21
19818,Not Fit,12,16,16,16,1,1,16,21,22
31403,Not Fit,12,16,16,16,1,16,16,20,21
31406,Not Fit,14,16,16,16,1,1,16,21,22
46114,Not Fit,16,16,16,16,1,16,16,20,21
36051,Not Fit,13,16,16,16,1,1,16,21,22
4321,Not Fit,13,16,16,16,1,16,16,20,21
4324,Not Fit,15,16,16,16,1,1,16,21,22
18253,Not Fit,17,16,16,16,1,16,16,20,21
18256,Not Fit,19,16,16,16,1,1,16,21,22
37408,Fit,21,16,16,16,1,16,16,20,21
41816,Fit,17,16,16,16,1,1,16,21,22
8091,Fit,17,16,16,16,1,16,16,20,21
8093,Fit,19,16,16,16,1,1,16,21,22
38436,Fit,21,16,16,16,1,16,16,20,21
38438,Fit,23,16,16,16,1,1,16,21,22
35157,Fit,22,16,16,16,1,16,16,20,21
46204,Not Fit,18,16,16,16,1,1,16,21,22
20143,Not Fit,22,16,16,16,1,16,16,20,21
18647,Not Fit,18,16,16,16,1,1,16,21,22
26999,Not Fit,18,16,16,16,1,16,16,20,21
27001,Not Fit,20,16,16,16,1,1,16,21,22
47943,Not Fit,22,16,16,16,1,16,16,20,21
17940,Not Fit,19,16,16,16,1,1,16,21,22
27732,Not Fit,19,16,16,16,1,16,16,20,21
27734,Not Fit,21,16,16,16,1,1,16,21,22
19295,Not Fit,23,16,16,16,1,16,16,20,21
45467,Not Fit,17,16,16,16,1,1,16,21,22
13050,Not Fit,21,16,16,16,1,16,16,20,21
20212,Not Fit,17,16,16,16,1,1,16,21,22
31706,Not Fit,17,16,16,16,1,16,16,20,21
31711,Not Fit,19,16,16,16,1,1,16,21,22
18622,Not Fit,21,16,16,16,1,16,16,20,21
43406,Not Fit,18,16,16,16,1,1,16,21,22
16062,Not Fit,22,16,16,16,1,16,16,20,21
16067,Not Fit,24,16,16,16,1,1,16,21,22
41792,Not Fit,22,16,16,16,1,16,16,20,21
38536,Not Fit,18,16,16,16,1,1,16,21,22
7057,Not Fit,18,16,16,16,1,16,16,20,21
7062,Not Fit,20,16,16,16,1,1,16,21,22
18134,Not Fit,23,16,16,16,1,16,16,20,21
37706,Not Fit,19,16,16,16,1,1,16,21,22
7630,Not Fit,19,16,16,16,1,16,16,20,21
7635,Not Fit,21,16,16,16,1,1,16,21,22
42824,Not Fit,12,16,16,16,1,16,16,20,21
42826,Not Fit,14,16,16,16,1,1,16,21,22
26044,Not Fit,16,16,16,16,1,16,16,20,21
26046,Not Fit,18,16,16,16,1,1,16,21,22
29028,Not Fit,17,16,16,16,1,16,16,20,21
29030,Not Fit,19,16,16,16,1,1,16,21,22
10280,Not Fit,17,16,16,16,1,16,16,20,21
28804,Not Fit,17,16,16,16,1,1,16,21,22
17132,Not Fit,17,16,16,16,1,16,16,20,21
17134,Not Fit,19,16,16,16,1,1,16,21,22
29836,Not Fit,21,16,16,16,1,16,16,20,21
6323,Fit,18,16,16,16,1,1,16,21,22
5418,Not Fit,22,16,16,16,1,16,16,20,21
5420,Not Fit,24,16,16,16,1,1,16,21,22
40663,Not Fit,18,16,16,16,1,16,16,20,21
3035,Not Fit,19,16,16,16,1,1,16,21,22
48435,Not Fit,23,16,16,16,1,16,16,20,21
10332,Not Fit,19,16,16,16,1,1,16,21,22
40011,Not Fit,19,16,16,16,1,16,16,20,21
40013,Not Fit,21,16,16,16,1,1,16,21,22
6097,Not Fit,23,16,16,16,1,16,16,20,21
5369,Not Fit,17,16,16,16,1,1,16,21,22
39988,Not Fit,17,16,16,16,1,16,16,20,21
31089,Not Fit,18,16,16,16,1,1,16,21,22
47609,Not Fit,18,16,16,16,1,16,16,20,21
47614,Not Fit,20,16,16,16,1,1,16,21,22
28858,Not Fit,22,16,16,16,1,16,16,20,21
22084,Not Fit,19,16,16,16,1,1,16,21,22
12817,Not Fit,19,16,16,16,1,16,16,20,21
30512,Not Fit,19,16,16,16,1,1,16,21,22
20977,Not Fit,19,16,16,16,1,16,16,20,21
20982,Not Fit,21,16,16,16,1,1,16,21,22
26786,Not Fit,9,16,16,32,1,1,16,21,22
13637,Not Fit,9,16,16,32,1,32,16,21,22
28769,Not Fit,10,16,16,32,1,1,16,21,22
17092,Not Fit,10,16,16,32,1,32,16,21,22
2215,Not Fit,9,16,16,32,1,1,16,21,22
32296,Not Fit,9,16,16,32,1,32,16,21,22
9854,Not Fit,10,16,16,32,1,1,16,21,22
40944,Not Fit,10,16,16,32,1,32,16,21,22
40946,Not Fit,12,16,16,32,1,1,16,21,22
31495,Not Fit,15,16,16,32,1,32,16,21,22
31498,Not Fit,17,16,16,32,1,1,16,21,22
32641,Not Fit,15,16,16,32,1,32,16,21,22
32644,Not Fit,17,16,16,32,1,1,16,21,22
3803,Not Fit,11,16,16,32,1,32,16,21,22
3806,Not Fit,13,16,16,32,1,1,16,21,22
47228,Not Fit,12,16,16,32,1,32,16,21,22
47231,Not Fit,14,16,16,32,1,1,16,21,22
28586,Not Fit,16,16,16,32,1,32,16,21,22
12268,Not Fit,12,16,16,32,1,1,16,21,22
22898,Not Fit,12,16,16,32,1,32,16,21,22
22901,Not Fit,14,16,16,32,1,1,16,21,22
44989,Not Fit,16,16,16,32,1,32,16,21,22
44992,Not Fit,18,16,16,32,1,1,16,21,22
42130,Not Fit,13,16,16,32,1,32,16,21,22
42133,Not Fit,15,16,16,32,1,1,16,21,22
26342,Not Fit,17,16,16,32,1,32,16,21,22
42877,Not Fit,13,16,16,32,1,1,16,21,22
14686,Not Fit,17,16,16,32,1,32,16,21,22
14689,Not Fit,19,16,16,32,1,1,16,21,22
9345,Not Fit,16,16,16,32,1,32,16,21,22
32660,Not Fit,12,16,16,32,1,1,16,21,22
1794,Not Fit,12,16,16,32,1,32,16,21,22
1796,Not Fit,14,16,16,32,1,1,16,21,22
1956,Not Fit,17,16,16,32,1,32,16,21,22
828,Fit,17,16,16,32,1,1,16,21,22
34147,Fit,17,16,16,32,1,32,16,21,22
12420,Fit,17,16,16,32,1,1,16,21,22
23050,Fit,17,16,16,32,1,32,16,21,22
23055,Fit,19,16,16,32,1,1,16,21,22
45125,Not Fit,21,16,16,32,1,32,16,21,22
42035,Fit,17,16,16,32,1,1,16,21,22
13974,Not Fit,21,16,16,32,1,32,16,21,22
3558,Fit,18,16,16,32,1,1,16,21,22
36874,Fit,18,16,16,32,1,32,16,21,22
36879,Fit,20,16,16,32,1,1,16,21,22
48527,Not Fit,22,16,16,32,1,32,16,21,22
48532,Not Fit,24,16,16,32,1,1,16,21,22
32994,Not Fit,22,16,16,32,1,32,16,21,22
36823,Not Fit,18,16,16,32,1,1,16,21,22
3664,Not Fit,18,16,16,32,1,32,16,21,22
5821,Fit,19,16,16,32,1,1,16,21,22
39564,Not Fit,19,16,16,32,1,32,16,21,22
37302,Not Fit,19,16,16,32,1,1,16,21,22
2806,Not Fit,19,16,16,32,1,32,16,21,22
2811,Not Fit,21,16,16,32,1,1,16,21,22
33549,Not Fit,23,16,16,32,1,32,16,21,22
33554,Not Fit,25,16,16,32,1,1,16,21,22
15255,Not Fit,17,16,16,32,1,32,16,21,22
32903,Not Fit,17,16,16,32,1,1,16,21,22
2062,Not Fit,17,16,16,32,1,32,16,21,22
2064,Not Fit,19,16,16,32,1,1,16,21,22
36852,Not Fit,21,16,16,32,1,32,16,21,22
23077,Not Fit,18,16,16,32,1,1,16,21,22
12397,Not Fit,18,16,16,32,1,32,16,21,22
45195,Not Fit,18,16,16,32,1,1,16,21,22
12442,Not Fit,22,16,16,32,1,32,16,21,22
13956,Not Fit,18,16,16,32,1,1,16,21,22
26452,Not Fit,18,16,16,32,1,32,16,21,22
26454,Not Fit,20,16,16,32,1,1,16,21,22
41952,Not Fit,22,16,16,32,1,32,16,21,22
30063,Not Fit,19,16,16,32,1,1,16,21,22
21285,Not Fit,19,16,16,32,1,32,16,21,22
14529,Not Fit,19,16,16,32,1,1,16,21,22
25876,Not Fit,19,16,16,32,1,32,16,21,22
25878,Not Fit,21,16,16,32,1,1,16,21,22
42632,Not Fit,23,16,16,32,1,32,16,21,22
42634,Not Fit,25,16,16,32,1,1,16,21,22
45713,Not Fit,12,16,16,32,1,32,16,21,22
45716,Not Fit,14,16,16,32,1,1,16,21,22
23305,Not Fit,17,16,16,32,1,32,16,21,22
23308,Not Fit,19,16,16,32,1,1,16,21,22
7275,Not Fit,16,16,16,32,1,32,16,21,22
7277,Not Fit,18,16,16,32,1,1,16,21,22
4140,Not Fit,17,16,16,32,1,32,16,21,22
2723,Not Fit,17,16,16,32,1,1,16,21,22
37601,Not Fit,17,16,16,32,1,32,16,21,22
37606,Not Fit,19,16,16,32,1,1,16,21,22
48486,Not Fit,21,16,16,32,1,32,16,21,22
48491,Not Fit,23,16,16,32,1,1,16,21,22
8296,Not Fit,21,16,16,32,1,32,16,21,22
6958,Not Fit,17,16,16,32,1,1,16,21,22
38893,Not Fit,17,16,16,32,1,32,16,21,22
449,Fit,18,16,16,32,1,1,16,21,22
34461,Not Fit,18,16,16,32,1,32,16,21,22
34466,Not Fit,20,16,16,32,1,1,16,21,22
20307,Not Fit,18,16,16,32,1,32,16,21,22
20312,Not Fit,20,16,16,32,1,1,16,21,22
27548,Not Fit,22,16,16,32,1,32,16,21,22
31783,Not Fit,19,16,16,32,1,1,16,21,22
19537,Not Fit,19,16,16,32,1,32,16,21,22
27621,Not Fit,17,16,16,32,1,1,16,21,22
18534,Not Fit,17,16,16,32,1,32,16,21,22
18536,Not Fit,19,16,16,32,1,1,16,21,22
15856,Not Fit,18,16,16,32,1,32,16,21,22
8325,Not Fit,18,16,16,32,1,1,16,21,22
6850,Not Fit,22,16,16,32,1,32,16,21,22
28151,Not Fit,19,16,16,32,1,1,16,21,22
17708,Not Fit,19,16,16,32,1,32,16,21,22
17710,Not Fit,21,16,16,32,1,1,16,21,22
7475,Not Fit,23,16,16,32,1,32,16,21,22
7477,Not Fit,25,16,16,32,1,1,16,21,22
41357,Not Fit,21,16,16,32,1,32,16,21,22
47099,Not Fit,17,16,16,32,1,1,16,21,22
17434,Not Fit,21,16,16,32,1,32,16,21,22
21421,Not Fit,17,16,16,32,1,1,16,21,22
30317,Not Fit,17,16,16,32,1,32,16,21,22
30322,Not Fit,19,16,16,32,1,1,16,21,22
39390,Not Fit,22,16,16,32,1,32,16,21,22
39503,Not Fit,18,16,16,32,1,1,16,21,22
5580,Not Fit,18,16,16,32,1,32,16,21,22
5585,Not Fit,20,16,16,32,1,1,16,21,22
40447,Not Fit,23,16,16,32,1,32,16,21,22
46274,Not Fit,18,16,16,32,1,1,16,21,22
21001,Not Fit,22,16,16,32,1,32,16,21,22
17318,Not Fit,18,16,16,32,1,1,16,21,22
28301,Not Fit,18,16,16,32,1,32,16,21,22
28303,Not Fit,20,16,16,32,1,1,16,21,22
13293,Not Fit,23,16,16,32,1,32,16,21,22
46488,Not Fit,19,16,16,32,1,1,16,21,22
6917,Not Fit,13,16,16,64,1,64,16,21,22
6919,Not Fit,15,16,16,64,1,1,16,21,22
45922,Not Fit,9,16,16,64,1,64,16,21,22
19947,Not Fit,11,16,16,64,1,1,16,21,22
31437,Not Fit,11,16,16,64,1,64,16,21,22
4993,Not Fit,12,16,16,64,1,1,16,21,22
35417,Not Fit,12,16,16,64,1,64,16,21,22
7078,Not Fit,13,16,16,64,1,1,16,21,22
38415,Not Fit,13,16,16,64,1,64,16,21,22
24174,Not Fit,12,16,16,64,1,1,16,21,22
10660,Not Fit,12,16,16,64,1,64,16,21,22
31670,Not Fit,13,16,16,64,1,1,16,21,22
20164,Not Fit,13,16,16,64,1,64,16,21,22
20169,Not Fit,15,16,16,64,1,1,16,21,22
46611,Not Fit,17,16,16,64,1,64,16,21,22
46615,Not Fit,19,16,16,64,1,1,16,21,22
30252,Not Fit,21,16,16,64,1,64,16,21,22
30256,Not Fit,23,16,16,64,1,1,16,21,22
41871,Not Fit,21,16,16,64,1,64,16,21,22
38375,Not Fit,17,16,16,64,1,1,16,21,22
6994,Not Fit,17,16,16,64,1,64,16,21,22
6998,Not Fit,19,16,16,64,1,1,16,21,22
36872,Fit,16,16,16,64,1,32,16,31,32
37189,Fit,16,16,16,64,1,16,16,31,32
48523,Not Fit,16,16,16,64,1,32,16,31,32
27095,Not Fit,22,16,16,64,1,64,16,23.5,24.5
20013,Not Fit,18,16,16,64,1,1,16,21,22
31643,Not Fit,18,16,16,64,1,64,16,21,22
31648,Not Fit,20,16,16,64,1,1,16,21,22
39561,Not Fit,17,16,16,64,1,32,16,31,32
43158,Not Fit,19,16,16,64,1,64,16,26,27
43164,Not Fit,21,16,16,64,1,1,16,21,22
39688,Fit,17,16,16,64,1,16,16,31,32
25195,Not Fit,23,16,16,64,1,64,16,23.5,24.5
25201,Not Fit,25,16,16,64,1,1,16,21,22
18034,Not Fit,23,16,16,64,1,64,16,21,22
18736,Not Fit,17,16,16,64,1,1,16,21,22
44831,Not Fit,16,16,16,64,1,16,16,31,32
12395,Not Fit,16,16,16,64,1,32,16,31,32
12587,Not Fit,16,16,16,64,1,16,16,31,32
8177,Not Fit,22,16,16,64,1,64,16,23.5,24.5
41853,Not Fit,18,16,16,64,1,1,16,21,22
8202,Not Fit,18,16,16,64,1,64,16,21,22
8208,Not Fit,20,16,16,64,1,1,16,21,22
21282,Not Fit,17,16,16,64,1,32,16,31,32
21694,Not Fit,17,16,16,64,1,16,16,31,32
667,Not Fit,23,16,16,64,1,64,16,23.5,24.5
674,Not Fit,25,16,16,64,1,1,16,21,22
47869,Not Fit,17,16,16,64,1,64,16,21,22
22667,Not Fit,17,16,16,64,1,1,16,21,22
12656,Not Fit,17,16,16,64,1,64,16,21,22
12660,Not Fit,19,16,16,64,1,1,16,21,22
42524,Not Fit,17,16,16,64,1,64,16,21,22
42528,Not Fit,19,16,16,64,1,1,16,21,22
26744,Not Fit,21,16,16,64,1,64,16,21,22
26748,Not Fit,23,16,16,64,1,1,16,21,22
46385,Not Fit,18,16,16,64,1,64,16,21,22
46390,Not Fit,20,16,16,64,1,1,16,21,22
30394,Not Fit,22,16,16,64,1,64,16,21,22
30399,Not Fit,24,16,16,64,1,1,16,21,22
2172,Not Fit,22,16,16,64,1,64,16,21,22
2177,Not Fit,24,16,16,64,1,1,16,21,22
45273,Not Fit,19,16,16,64,1,64,16,21,22
45279,Not Fit,21,16,16,64,1,1,16,21,22
22006,Not Fit,23,16,16,64,1,64,16,21,22
2679,Not Fit,19,16,16,64,1,1,16,21,22
