model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
2855,Fit,5,32,24,16,16,256,14,13507,6282,32
2856,Fit,8,32,24,16,16,128,14,13507,6280,32
2854,Fit,11,32,24,16,16,64,14,13507,6278,32
37318,Fit,5,32,24,16,16,256,14,13507,6282,32
37319,Fit,8,32,24,16,16,128,14,13507,6280,32
37317,Fit,11,32,24,16,16,64,14,13507,6278,32
48346,Fit,5,32,24,16,16,256,14,13507,6282,32
48347,Fit,8,32,24,16,16,128,14,13507,6280,32
48345,Fit,11,32,24,16,16,64,14,13507,6278,32
37566,Fit,5,32,24,16,16,256,14,13507,6282,32
37567,Fit,8,32,24,16,16,128,14,13507,6280,32
37565,Fit,11,32,24,16,16,64,14,13507,6278,32
9439,Fit,5,32,24,16,16,256,14,13507,6282,32
9440,Fit,8,32,24,16,16,128,14,13507,6280,32
9438,Fit,11,32,24,16,16,64,14,13507,6278,32
11186,Not Fit,5,32,24,16,16,256,14,13507,6282,32
11187,Not Fit,8,32,24,16,16,128,14,13507,6280,32
11185,Not Fit,11,32,24,16,16,64,14,13507,6278,32
41183,Fit,5,32,24,16,16,256,14,13507,6285,32
41184,Fit,8,32,24,16,16,128,14,13507,6280,32
41182,Fit,11,32,24,16,16,64,14,13507,6278,32
23942,Not Fit,5,32,24,16,16,256,14,13507,6285,32
23943,Not Fit,8,32,24,16,16,128,14,13507,6280,32
23941,Not Fit,11,32,24,16,16,64,14,13507,6278,32
40693,Fit,5,32,24,16,16,256,14,13507,6282,32
40694,Fit,8,32,24,16,16,128,14,13507,6280,32
40692,Fit,11,32,24,16,16,64,14,13507,6278,32
43839,Not Fit,5,32,24,16,16,256,14,13507,6285,32
43840,Not Fit,8,32,24,16,16,128,14,13507,6280,32
43838,Not Fit,11,32,24,16,16,64,14,13507,6278,32
22317,Fit,5,32,24,16,16,256,14,13507,6282,32
22318,Fit,8,32,24,16,16,128,14,13507,6280,32
22316,Fit,11,32,24,16,16,64,14,13507,6278,32
41334,Not Fit,5,32,24,16,16,256,14,13507,6282,32
41335,Not Fit,8,32,24,16,16,128,14,13507,6280,32
41333,Not Fit,11,32,24,16,16,64,14,13507,6281,32
12995,Fit,5,32,24,16,16,256,14,13507,6282,32
12996,Fit,8,32,24,16,16,128,14,13507,6280,32
12994,Fit,11,32,24,16,16,64,14,13507,6278,32
9138,Not Fit,5,32,24,16,16,256,14,13507,6282,32
9139,Not Fit,8,32,24,16,16,128,14,13507,6280,32
9137,Not Fit,11,32,24,16,16,64,14,13507,6278,32
13239,Not Fit,5,32,24,16,16,256,14,13507,6282,32
13240,Not Fit,8,32,24,16,16,128,14,13507,6280,32
13238,Not Fit,11,32,24,16,16,64,14,13507,6278,32
14314,Not Fit,5,32,24,16,16,256,14,13507,6282,32
14315,Not Fit,8,32,24,16,16,128,14,13507,6280,32
14313,Not Fit,11,32,24,16,16,64,14,13507,6281,32
42568,Not Fit,5,32,24,16,16,256,14,13507,6282,32
42569,Not Fit,8,32,24,16,16,128,14,13507,6280,32
42567,Not Fit,11,32,24,16,16,64,14,13507,6278,32
26281,Not Fit,5,32,24,16,16,256,14,13507,6282,32
26282,Not Fit,8,32,24,16,16,128,14,13507,6280,32
26280,Not Fit,11,32,24,16,16,64,14,13507,6278,32
25935,Not Fit,5,32,24,16,16,256,14,13507,6282,32
25936,Not Fit,8,32,24,16,16,128,14,13507,6280,32
25934,Not Fit,11,32,24,16,16,64,14,13507,6278,32
42952,Not Fit,5,32,24,16,16,256,14,13507,6285,32
42953,Not Fit,8,32,24,16,16,128,14,13507,6280,32
42951,Not Fit,11,32,24,16,16,64,14,13507,6278,32
38255,Not Fit,5,32,24,16,16,256,14,13507,6282,32
38256,Not Fit,8,32,24,16,16,128,14,13507,6280,32
38254,Not Fit,11,32,24,16,16,64,14,13507,6278,32
1888,Fit,5,32,24,16,16,256,14,13507,6282,32
1889,Fit,8,32,24,16,16,128,14,13507,6280,32
1887,Fit,11,32,24,16,16,64,14,13507,6278,32
20435,Not Fit,5,32,24,16,16,256,14,13507,6282,32
20436,Not Fit,8,32,24,16,16,128,14,13507,6280,32
20434,Not Fit,11,32,24,16,16,64,14,13507,6278,32
32710,Fit,5,32,24,16,16,256,14,13507,6282,32
32711,Fit,8,32,24,16,16,128,14,13507,6280,32
32709,Fit,11,32,24,16,16,64,14,13507,6278,32
49643,Fit,5,32,24,16,16,256,14,13507,6282,32
49644,Fit,8,32,24,16,16,128,14,13507,6280,32
49642,Fit,11,32,24,16,16,64,14,13507,6278,32
31218,Not Fit,5,32,24,16,16,256,14,13507,6282,32
31219,Not Fit,8,32,24,16,16,128,14,13507,6280,32
31217,Not Fit,11,32,24,16,16,64,14,13507,6281,32
32554,Not Fit,5,32,24,16,16,256,14,13507,6285,32
32555,Not Fit,8,32,24,16,16,128,14,13507,6280,32
32553,Not Fit,11,32,24,16,16,64,14,13507,6278,32
13719,Not Fit,5,32,24,16,16,256,14,13507,6282,32
13720,Not Fit,8,32,24,16,16,128,14,13507,6280,32
13718,Not Fit,11,32,24,16,16,64,14,13507,6278,32
42007,Not Fit,5,32,24,16,16,256,14,13507,6285,32
42008,Not Fit,8,32,24,16,16,128,14,13507,6280,32
42006,Not Fit,11,32,24,16,16,64,14,13507,6278,32
26871,Not Fit,5,32,24,16,16,256,14,13507,6282,32
26872,Not Fit,8,32,24,16,16,128,14,13507,6280,32
26870,Not Fit,11,32,24,16,16,64,14,13507,6278,32
26420,Not Fit,5,32,24,16,16,256,14,13507,6282,32
26421,Not Fit,8,32,24,16,16,128,14,13507,6280,32
26419,Not Fit,11,32,24,16,16,64,14,13507,6278,32
42450,Not Fit,5,32,24,16,16,256,14,13507,6282,32
42451,Not Fit,8,32,24,16,16,128,14,13507,6280,32
42449,Not Fit,11,32,24,16,16,64,14,13507,6278,32
38780,Not Fit,5,32,24,16,16,256,14,13507,6282,32
38781,Not Fit,8,32,24,16,16,128,14,13507,6280,32
38779,Not Fit,11,32,24,16,16,64,14,13507,6278,32
23028,Not Fit,5,32,24,16,16,256,14,13507,6282,32
23029,Not Fit,8,32,24,16,16,128,14,13507,6283,32
23027,Not Fit,11,32,24,16,16,64,14,13507,6278,32
44806,Not Fit,5,32,24,16,16,256,14,13507,6282,32
44807,Not Fit,8,32,24,16,16,128,14,13507,6280,32
44805,Not Fit,11,32,24,16,16,64,14,13507,6281,32
41496,Not Fit,5,32,24,16,16,256,14,13507,6282,32
41497,Not Fit,8,32,24,16,16,128,14,13507,6280,32
41495,Not Fit,11,32,24,16,16,64,14,13507,6278,32
12369,Not Fit,5,32,24,16,16,256,14,13507,6282,32
12370,Not Fit,8,32,24,16,16,128,14,13507,6280,32
12368,Not Fit,11,32,24,16,16,64,14,13507,6278,32
8363,Not Fit,5,32,24,16,16,256,14,13507,6282,32
8364,Not Fit,8,32,24,16,16,128,14,13507,6280,32
8362,Not Fit,11,32,24,16,16,64,14,13507,6278,32
12556,Not Fit,5,32,24,16,16,256,14,13507,6282,32
12557,Not Fit,8,32,24,16,16,128,14,13507,6280,32
12555,Not Fit,11,32,24,16,16,64,14,13507,6281,32
2128,Fit,5,32,24,16,16,512,14,13510,6285.28571428571,32
2129,Fit,8,32,24,16,16,256,14,13507,6282,32
2127,Fit,11,32,24,16,16,128,14,13507,6280,32
32367,Not Fit,5,32,24,16,16,512,14,13510,6284,32
32368,Not Fit,8,32,24,16,16,256,14,13507,6282,32
32366,Not Fit,11,32,24,16,16,128,14,13507,6283,32
45900,Not Fit,5,32,24,16,16,512,14,13510,6284,32
45901,Not Fit,8,32,24,16,16,256,14,13507,6282,32
45899,Not Fit,11,32,24,16,16,128,14,13507,6280,32
32822,Fit,5,32,24,16,16,512,14,13510,6284,32
32823,Fit,8,32,24,16,16,256,14,13507,6282,32
32821,Fit,11,32,24,16,16,128,14,13507,6280,32
43637,Fit,5,32,24,16,16,512,14,13510,6287,32
43638,Fit,8,32,24,16,16,256,14,13507,6282,32
43636,Fit,11,32,24,16,16,128,14,13507,6280,32
24517,Fit,5,32,24,16,16,512,14,13510,6284,32
24518,Fit,8,32,24,16,16,256,14,13507,6285,32
24516,Fit,11,32,24,16,16,128,14,13507,6280,32
16033,Not Fit,5,32,24,16,16,512,14,13510,6284,32
16034,Not Fit,8,32,24,16,16,256,14,13507,6282,32
16032,Not Fit,11,32,24,16,16,128,14,13507,6280,32
15805,Fit,5,32,24,16,16,512,14,13510,6284,32
15806,Fit,8,32,24,16,16,256,14,13507,6282,32
15804,Fit,11,32,24,16,16,128,14,13507,6280,32
6207,Not Fit,5,32,24,16,16,512,14,13510,6287,32
6208,Not Fit,8,32,24,16,16,256,14,13507,6282,32
6206,Not Fit,11,32,24,16,16,128,14,13507,6280,32
11903,Fit,5,32,24,16,16,512,14,13510,6284,32
11904,Fit,8,32,24,16,16,256,14,13507,6285,32
11902,Fit,11,32,24,16,16,128,14,13507,6280,32
10294,Not Fit,5,32,24,16,16,512,14,13510,6284,32
10295,Not Fit,8,32,24,16,16,256,14,13507,6282,32
10293,Not Fit,11,32,24,16,16,128,14,13507,6280,32
23205,Fit,5,32,24,16,16,512,14,13510,6284,32
23206,Fit,8,32,24,16,16,256,14,13507,6282,32
23204,Fit,11,32,24,16,16,128,14,13507,6280,32
40508,Not Fit,5,32,24,16,16,512,14,13510,6284,32
40509,Not Fit,8,32,24,16,16,256,14,13507,6282,32
40507,Not Fit,11,32,24,16,16,128,14,13507,6280,32
44413,Fit,5,32,24,16,16,512,14,13510,6284,32
44414,Fit,8,32,24,16,16,256,14,13507,6282,32
44412,Fit,11,32,24,16,16,128,14,13507,6280,32
23657,Not Fit,5,32,24,16,16,512,14,13510,6284,32
23658,Not Fit,8,32,24,16,16,256,14,13507,6282,32
23656,Not Fit,11,32,24,16,16,128,14,13507,6280,32
4711,Fit,5,32,24,16,16,512,14,13510,6284,32
4712,Fit,8,32,24,16,16,256,14,13507,6282,32
4710,Fit,11,32,24,16,16,128,14,13507,6280,32
48867,Fit,5,32,24,16,16,512,14,13510,6284,32
48868,Fit,8,32,24,16,16,256,14,13507,6282,32
48866,Fit,11,32,24,16,16,128,14,13507,6280,32
35670,Fit,5,32,24,16,16,512,14,13510,6284,32
35671,Fit,8,32,24,16,16,256,14,13507,6282,32
35669,Fit,11,32,24,16,16,128,14,13507,6280,32
47581,Not Fit,5,32,24,16,16,512,14,13510,6284,32
47582,Not Fit,8,32,24,16,16,256,14,13507,6282,32
47580,Not Fit,11,32,24,16,16,128,14,13507,6280,32
35191,Fit,5,32,24,16,16,512,14,13510,6284,32
35192,Fit,8,32,24,16,16,256,14,13507,6282,32
35190,Fit,11,32,24,16,16,128,14,13507,6280,32
49104,Not Fit,5,32,24,16,16,512,14,13510,6284,32
49105,Not Fit,8,32,24,16,16,256,14,13507,6282,32
49103,Not Fit,11,32,24,16,16,128,14,13507,6280,32
28898,Not Fit,5,32,24,16,16,512,14,13510,6284,32
28899,Not Fit,8,32,24,16,16,256,14,13507,6282,32
28897,Not Fit,11,32,24,16,16,128,14,13507,6280,32
36668,Fit,5,32,24,16,16,512,14,13510,6284,32
36669,Fit,8,32,24,16,16,256,14,13507,6282,32
36667,Fit,11,32,24,16,16,128,14,13507,6280,32
48689,Not Fit,5,32,24,16,16,512,14,13510,6284,32
48690,Not Fit,8,32,24,16,16,256,14,13507,6282,32
48688,Not Fit,11,32,24,16,16,128,14,13507,6283,32
29118,Not Fit,5,32,24,16,16,512,14,13510,6284,32
29119,Not Fit,8,32,24,16,16,256,14,13507,6282,32
29117,Not Fit,11,32,24,16,16,128,14,13507,6280,32
4075,Fit,5,32,24,16,16,512,14,13510,6284,32
4076,Fit,8,32,24,16,16,256,14,13507,6282,32
4074,Fit,11,32,24,16,16,128,14,13507,6280,32
16685,Not Fit,5,32,24,16,16,512,14,13510,6284,32
16686,Not Fit,8,32,24,16,16,256,14,13507,6282,32
16684,Not Fit,11,32,24,16,16,128,14,13507,6280,32
4203,Not Fit,5,32,24,16,16,512,14,13510,6284,32
4204,Not Fit,8,32,24,16,16,256,14,13507,6282,32
4202,Not Fit,11,32,24,16,16,128,14,13507,6280,32
302,Not Fit,5,32,24,16,16,512,14,13510,6284,32
303,Not Fit,8,32,24,16,16,256,14,13507,6282,32
301,Not Fit,11,32,24,16,16,128,14,13507,6280,32
35118,Not Fit,5,32,24,16,16,512,14,13510,6284,32
35119,Not Fit,8,32,24,16,16,256,14,13507,6282,32
35117,Not Fit,11,32,24,16,16,128,14,13507,6280,32
34413,Not Fit,5,32,24,16,16,512,14,13510,6284,32
34414,Not Fit,8,32,24,16,16,256,14,13507,6282,32
34412,Not Fit,11,32,24,16,16,128,14,13507,6280,32
6699,Not Fit,5,32,24,16,16,512,14,13510,6284,32
6700,Not Fit,8,32,24,16,16,256,14,13507,6282,32
6698,Not Fit,11,32,24,16,16,128,14,13507,6280,32
38721,Not Fit,5,32,24,16,16,512,14,13510,6284,32
38722,Not Fit,8,32,24,16,16,256,14,13507,6285,32
38720,Not Fit,11,32,24,16,16,128,14,13507,6280,32
42269,Not Fit,5,32,24,16,16,512,14,13510,6287,32
42270,Not Fit,8,32,24,16,16,256,14,13507,6282,32
42268,Not Fit,11,32,24,16,16,128,14,13507,6283,32
26651,Not Fit,5,32,24,16,16,512,14,13510,6284,32
26652,Not Fit,8,32,24,16,16,256,14,13507,6282,32
26650,Not Fit,11,32,24,16,16,128,14,13507,6280,32
923,Not Fit,5,32,24,16,16,512,14,13510,6284,32
924,Not Fit,8,32,24,16,16,256,14,13507,6282,32
922,Not Fit,11,32,24,16,16,128,14,13507,6280,32
34237,Not Fit,5,32,24,16,16,512,14,13510,6284,32
34238,Not Fit,8,32,24,16,16,256,14,13507,6282,32
34236,Not Fit,11,32,24,16,16,128,14,13507,6280,32
46648,Not Fit,5,32,24,16,16,512,14,13510,6284,32
46649,Not Fit,8,32,24,16,16,256,14,13507,6282,32
46647,Not Fit,11,32,24,16,16,128,14,13507,6280,32
33769,Not Fit,5,32,24,16,16,512,14,13510,6284,32
33770,Not Fit,8,32,24,16,16,256,14,13507,6282,32
33768,Not Fit,11,32,24,16,16,128,14,13507,6280,32
30198,Not Fit,5,32,24,16,16,512,14,13510,6284,32
30199,Not Fit,8,32,24,16,16,256,14,13507,6282,32
30197,Not Fit,11,32,24,16,16,128,14,13507,6280,32
35726,Not Fit,5,32,24,16,16,512,14,13510,6284,32
35727,Not Fit,8,32,24,16,16,256,14,13507,6285,32
35725,Not Fit,11,32,24,16,16,128,14,13507,6280,32
4761,Not Fit,5,32,24,16,16,512,14,13510,6287,32
4762,Not Fit,8,32,24,16,16,256,14,13507,6282,32
4760,Not Fit,11,32,24,16,16,128,14,13507,6280,32
4848,Not Fit,5,32,24,16,16,512,14,13510,6284,32
4849,Not Fit,8,32,24,16,16,256,14,13507,6282,32
4847,Not Fit,11,32,24,16,16,128,14,13507,6280,32
29626,Fit,5,32,32,32,32,128,43,42226,17785,96
29627,Fit,8,32,32,32,32,64,43,42226,17783,96
29625,Fit,11,32,32,32,32,32,43,42226,17781,96
46762,Not Fit,5,32,32,32,32,128,43,42226,17785,96
46763,Not Fit,8,32,32,32,32,64,43,42226,17783,96
46761,Not Fit,11,32,32,32,32,32,43,42226,17781,96
35974,Not Fit,5,32,32,32,32,128,43,42226,17785,96
35975,Not Fit,8,32,32,32,32,64,43,42226,17783,96
35973,Not Fit,11,32,32,32,32,32,43,42226,17781,96
16466,Not Fit,5,32,32,32,32,128,43,42226,17785,96
16467,Not Fit,8,32,32,32,32,64,43,42226,17783,96
16465,Not Fit,11,32,32,32,32,32,43,42226,17781,96
4231,Not Fit,5,32,32,32,32,128,43,42226,17785,96
4232,Not Fit,8,32,32,32,32,64,43,42226,17783,96
4230,Not Fit,11,32,32,32,32,32,43,42226,17781,96
16709,Not Fit,5,32,32,32,32,128,43,42226,17785,96
16710,Not Fit,8,32,32,32,32,64,43,42226,17783,96
16708,Not Fit,11,32,32,32,32,32,43,42226,17781,96
22473,Not Fit,5,32,32,32,32,128,43,42226,17785,96
22474,Not Fit,8,32,32,32,32,64,43,42226,17783,96
22472,Not Fit,11,32,32,32,32,32,43,42226,17781,96
9017,Not Fit,5,32,32,32,32,128,43,42226,17785,96
9018,Not Fit,8,32,32,32,32,64,43,42226,17783,96
9016,Not Fit,11,32,32,32,32,32,43,42226,17781,96
13071,Not Fit,5,32,32,32,32,128,43,42226,17785,96
13072,Not Fit,8,32,32,32,32,64,43,42226,17783,96
13070,Not Fit,11,32,32,32,32,32,43,42226,17781,96
8749,Not Fit,5,32,32,32,32,128,43,42226,17785,96
8750,Not Fit,8,32,32,32,32,64,43,42226,17783,96
8748,Not Fit,11,32,32,32,32,32,43,42226,17781,96
7649,Not Fit,5,32,32,32,32,128,43,42226,17785,96
7650,Not Fit,8,32,32,32,32,64,43,42226,17783,96
7648,Not Fit,11,32,32,32,32,32,43,42226,17781,96
37719,Not Fit,5,32,32,32,32,128,43,42226,17785,96
37720,Not Fit,8,32,32,32,32,64,43,42226,17783,96
37718,Not Fit,11,32,32,32,32,32,43,42226,17781,96
42724,Not Fit,5,32,32,32,32,128,43,42226,17785,96
42725,Not Fit,8,32,32,32,32,64,43,42226,17783,96
42723,Not Fit,11,32,32,32,32,32,43,42226,17781,96
25746,Not Fit,5,32,32,32,32,128,43,42226,17785,96
25747,Not Fit,8,32,32,32,32,64,43,42226,17783,96
25745,Not Fit,11,32,32,32,32,32,43,42226,17781,96
31800,Fit,5,32,32,32,32,128,43,42226,17785,96
31801,Fit,8,32,32,32,32,64,43,42226,17783,96
31799,Fit,11,32,32,32,32,32,43,42226,17781,96
33417,Not Fit,5,32,32,32,32,128,43,42226,17785,96
33418,Not Fit,8,32,32,32,32,64,43,42226,17783,96
33416,Not Fit,11,32,32,32,32,32,43,42226,17781,96
19580,Fit,5,32,32,32,32,128,43,42226,17785,96
19581,Fit,8,32,32,32,32,64,43,42226,17783,96
19579,Fit,11,32,32,32,32,32,43,42226,17781,96
1424,Not Fit,5,32,32,32,32,128,43,42226,17785,96
1425,Not Fit,8,32,32,32,32,64,43,42226,17783,96
1423,Not Fit,11,32,32,32,32,32,43,42226,17781,96
19317,Not Fit,5,32,32,32,32,128,43,42226,17785,96
19318,Not Fit,8,32,32,32,32,64,43,42226,17783,96
19316,Not Fit,11,32,32,32,32,32,43,42226,17781,96
45536,Not Fit,5,32,32,32,32,128,43,42226,17785,96
45537,Not Fit,8,32,32,32,32,64,43,42226,17783,96
45535,Not Fit,11,32,32,32,32,32,43,42226,17781,96
32275,Not Fit,5,32,32,32,32,128,43,42226,17785,96
32276,Not Fit,8,32,32,32,32,64,43,42226,17783,96
32274,Not Fit,11,32,32,32,32,32,43,42226,17781,96
49530,Not Fit,5,32,32,32,32,128,43,42226,17785,96
49531,Not Fit,8,32,32,32,32,64,43,42226,17783,96
49529,Not Fit,11,32,32,32,32,32,43,42226,17781,96
19266,Not Fit,5,32,32,32,32,128,43,42226,17785,96
19267,Not Fit,8,32,32,32,32,64,43,42226,17783,96
19265,Not Fit,11,32,32,32,32,32,43,42226,17781,96
19435,Not Fit,5,32,32,32,32,128,43,42226,17785,96
19436,Not Fit,8,32,32,32,32,64,43,42226,17783,96
19434,Not Fit,11,32,32,32,32,32,43,42226,17781,96
1362,Not Fit,5,32,32,32,32,128,43,42226,17785,96
1363,Not Fit,8,32,32,32,32,64,43,42226,17783,96
1361,Not Fit,11,32,32,32,32,32,43,42226,17781,96
2979,Not Fit,5,32,32,32,32,128,43,42226,17785,96
2980,Not Fit,8,32,32,32,32,64,43,42226,17783,96
2978,Not Fit,11,32,32,32,32,32,43,42226,17781,96
47681,Not Fit,5,32,32,32,32,128,43,42226,17785,96
47682,Not Fit,8,32,32,32,32,64,43,42226,17783,96
47680,Not Fit,11,32,32,32,32,32,43,42226,17781,96
37361,Not Fit,5,32,32,32,32,128,43,42226,17785,96
37362,Not Fit,8,32,32,32,32,64,43,42226,17783,96
37360,Not Fit,11,32,32,32,32,32,43,42226,17781,96
27677,Not Fit,5,32,32,32,32,128,43,42226,17785,96
27678,Not Fit,8,32,32,32,32,64,43,42226,17783,96
27676,Not Fit,11,32,32,32,32,32,43,42226,17781,96
23408,Not Fit,5,32,32,32,32,128,43,42226,17785,96
23409,Not Fit,8,32,32,32,32,64,43,42226,17783,96
23407,Not Fit,11,32,32,32,32,32,43,42226,17781,96
44655,Not Fit,5,32,32,32,32,128,43,42226,17785,96
44656,Not Fit,8,32,32,32,32,64,43,42226,17783,96
44654,Not Fit,11,32,32,32,32,32,43,42226,17781,96
40385,Not Fit,5,32,32,32,32,128,43,42226,17785,96
40386,Not Fit,8,32,32,32,32,64,43,42226,17783,96
40384,Not Fit,11,32,32,32,32,32,43,42226,17781,96
12001,Not Fit,5,32,32,32,32,128,43,42226,17785,96
12002,Not Fit,8,32,32,32,32,64,43,42226,17783,96
12000,Not Fit,11,32,32,32,32,32,43,42226,17781,96
10008,Not Fit,5,32,32,32,32,128,43,42226,17785,96
10009,Not Fit,8,32,32,32,32,64,43,42226,17783,96
10007,Not Fit,11,32,32,32,32,32,43,42226,17781,96
11452,Not Fit,5,32,32,32,32,128,43,42226,17785,96
11453,Not Fit,8,32,32,32,32,64,43,42226,17783,96
11451,Not Fit,11,32,32,32,32,32,43,42226,17781,96
18487,Not Fit,5,32,32,32,32,128,43,42226,17785,96
18488,Not Fit,8,32,32,32,32,64,43,42226,17783,96
18486,Not Fit,11,32,32,32,32,32,43,42226,17781,96
3687,Not Fit,5,32,32,32,32,128,43,42226,17785,96
3688,Not Fit,8,32,32,32,32,64,43,42226,17783,96
3686,Not Fit,11,32,32,32,32,32,43,42226,17781,96
27573,Not Fit,5,32,32,32,32,128,43,42226,17785,96
27574,Not Fit,8,32,32,32,32,64,43,42226,17783,96
27572,Not Fit,11,32,32,32,32,32,43,42226,17781,96
36897,Not Fit,5,32,32,32,32,128,43,42226,17785,96
36898,Not Fit,8,32,32,32,32,64,43,42226,17783,96
36896,Not Fit,11,32,32,32,32,32,43,42226,17781,96
48282,Not Fit,5,32,32,32,32,128,43,42226,17785,96
48283,Not Fit,8,32,32,32,32,64,43,42226,17783,96
48281,Not Fit,11,32,32,32,32,32,43,42226,17781,96
27019,Not Fit,5,32,32,32,32,128,43,42226,17785,96
27020,Not Fit,8,32,32,32,32,64,43,42226,17783,96
27018,Not Fit,11,32,32,32,32,32,43,42226,17781,96
45953,Not Fit,5,32,32,32,32,128,43,42226,17785,96
45954,Not Fit,8,32,32,32,32,64,43,42226,17783,96
45952,Not Fit,11,32,32,32,32,32,43,42226,17781,96
31681,Not Fit,5,32,32,32,32,128,43,42226,17785,96
31682,Not Fit,8,32,32,32,32,64,43,42226,17783,96
31680,Not Fit,11,32,32,32,32,32,43,42226,17781,96
20181,Not Fit,5,32,32,32,32,128,43,42226,17785,96
20182,Not Fit,8,32,32,32,32,64,43,42226,17783,96
20180,Not Fit,11,32,32,32,32,32,43,42226,17781,96
20350,Not Fit,5,32,32,32,32,128,43,42226,17785,96
20351,Not Fit,8,32,32,32,32,64,43,42226,17783,96
20349,Not Fit,11,32,32,32,32,32,43,42226,17781,96
1972,Not Fit,5,32,32,32,32,128,43,42226,17785,96
1973,Not Fit,8,32,32,32,32,64,43,42226,17783,96
1971,Not Fit,11,32,32,32,32,32,43,42226,17781,96
31574,Not Fit,5,32,32,32,32,256,43,42226,17787,96
31575,Not Fit,8,32,32,32,32,128,43,42226,17785,96
31573,Not Fit,11,32,32,32,32,64,43,42226,17783,96
32428,Not Fit,5,32,32,32,32,256,43,42226,17787,96
32429,Not Fit,8,32,32,32,32,128,43,42226,17785,96
32427,Not Fit,11,32,32,32,32,64,43,42226,17783,96
20073,Not Fit,5,32,32,32,32,256,43,42226,17787,96
20074,Not Fit,8,32,32,32,32,128,43,42226,17785,96
20072,Not Fit,11,32,32,32,32,64,43,42226,17783,96
2264,Not Fit,5,32,32,32,32,256,43,42226,17787,96
2265,Not Fit,8,32,32,32,32,128,43,42226,17785,96
2263,Not Fit,11,32,32,32,32,64,43,42226,17783,96
20245,Not Fit,5,32,32,32,32,256,43,42226,17787,96
20246,Not Fit,8,32,32,32,32,128,43,42226,17785,96
20244,Not Fit,11,32,32,32,32,64,43,42226,17783,96
13133,Not Fit,5,32,32,32,32,256,43,42226,17787,96
13134,Not Fit,8,32,32,32,32,128,43,42226,17785,96
13132,Not Fit,11,32,32,32,32,64,43,42226,17783,96
21816,Not Fit,5,32,32,32,32,256,43,42226,17787,96
21817,Not Fit,8,32,32,32,32,128,43,42226,17785,96
21815,Not Fit,11,32,32,32,32,64,43,42226,17783,96
22361,Not Fit,5,32,32,32,32,256,43,42226,17787,96
22362,Not Fit,8,32,32,32,32,128,43,42226,17785,96
22360,Not Fit,11,32,32,32,32,64,43,42226,17783,96
25896,Not Fit,5,32,32,32,32,256,43,42226,17787,96
25897,Not Fit,8,32,32,32,32,128,43,42226,17785,96
25895,Not Fit,11,32,32,32,32,64,43,42226,17783,96
43004,Not Fit,5,32,32,32,32,256,43,42226,17787,96
43005,Not Fit,8,32,32,32,32,128,43,42226,17785,96
43003,Not Fit,11,32,32,32,32,64,43,42226,17783,96
38140,Not Fit,5,32,32,32,32,256,43,42226,17787,96
38141,Not Fit,8,32,32,32,32,128,43,42226,17785,96
38139,Not Fit,11,32,32,32,32,64,43,42226,17783,96
14546,Not Fit,5,32,32,32,32,256,43,42226,17787,96
14547,Not Fit,8,32,32,32,32,128,43,42226,17785,96
14545,Not Fit,11,32,32,32,32,64,43,42226,17783,96
7378,Not Fit,5,32,32,32,32,256,43,42226,17787,96
7379,Not Fit,8,32,32,32,32,128,43,42226,17785,96
7377,Not Fit,11,32,32,32,32,64,43,42226,17783,96
14383,Not Fit,5,32,32,32,32,256,43,42226,17787,96
14384,Not Fit,8,32,32,32,32,128,43,42226,17785,96
14382,Not Fit,11,32,32,32,32,64,43,42226,17783,96
28321,Not Fit,5,32,32,32,32,256,43,42226,17787,96
28322,Not Fit,8,32,32,32,32,128,43,42226,17785,96
28320,Not Fit,11,32,32,32,32,64,43,42226,17783,96
47628,Not Fit,5,32,32,32,32,256,43,42226,17787,96
47629,Not Fit,8,32,32,32,32,128,43,42226,17785,96
47627,Not Fit,11,32,32,32,32,64,43,42226,17783,96
35931,Not Fit,5,32,32,32,32,256,43,42226,17787,96
35932,Not Fit,8,32,32,32,32,128,43,42226,17785,96
35930,Not Fit,11,32,32,32,32,64,43,42226,17783,96
17335,Not Fit,5,32,32,32,32,256,43,42226,17787,96
17336,Not Fit,8,32,32,32,32,128,43,42226,17785,96
17334,Not Fit,11,32,32,32,32,64,43,42226,17783,96
4786,Not Fit,5,32,32,32,32,256,43,42226,17787,96
4787,Not Fit,8,32,32,32,32,128,43,42226,17785,96
4785,Not Fit,11,32,32,32,32,64,43,42226,17783,96
17103,Not Fit,5,32,32,32,32,256,43,42226,17787,96
17104,Not Fit,8,32,32,32,32,128,43,42226,17785,96
17102,Not Fit,11,32,32,32,32,64,43,42226,17783,96
1467,Not Fit,5,32,32,32,32,256,43,42226,17787,96
1468,Not Fit,8,32,32,32,32,128,43,42226,17785,96
1466,Not Fit,11,32,32,32,32,64,43,42226,17783,96
19344,Not Fit,5,32,32,32,32,256,43,42226,17787,96
19345,Not Fit,8,32,32,32,32,128,43,42226,17785,96
19343,Not Fit,11,32,32,32,32,64,43,42226,17783,96
33584,Not Fit,5,32,32,32,32,256,43,42226,17787,96
33585,Not Fit,8,32,32,32,32,128,43,42226,17785,96
33583,Not Fit,11,32,32,32,32,64,43,42226,17783,96
49467,Not Fit,5,32,32,32,32,256,43,42226,17787,96
