model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
34911,Not Fit,8,4,4,16,16,64,86,54201,17684,192
34909,Not Fit,11,4,4,16,16,32,86,54201,17682,192
25817,Not Fit,5,4,4,16,16,128,86,54201,17686,192
25818,Not Fit,8,4,4,16,16,64,86,54201,17684,192
25816,Not Fit,11,4,4,16,16,32,86,54200,17679,192
33459,Not Fit,5,4,4,16,16,128,86,54201,17686,192
33460,Not Fit,8,4,4,16,16,64,86,54201,17684,192
33458,Not Fit,11,4,4,16,16,32,86,54201,17682,192
13928,Not Fit,5,4,4,16,16,128,86,54201,17686,192
13929,Not Fit,8,4,4,16,16,64,86,54201,17684,192
13927,Not Fit,11,4,4,16,16,32,86,54201,17682,192
19508,Not Fit,5,4,4,16,16,128,86,54201,17686,192
19509,Not Fit,8,4,4,16,16,64,86,54201,17684,192
19507,Not Fit,11,4,4,16,16,32,86,54201,17682,192
31130,Not Fit,5,4,4,16,16,128,86,54201,17686,192
31131,Not Fit,8,4,4,16,16,64,86,54200,17681,192
31129,Not Fit,11,4,4,16,16,32,86,54201,17682,192
21315,Not Fit,5,4,4,16,16,128,86,54201,17686,192
21316,Not Fit,8,4,4,16,16,64,86,54201,17684,192
21314,Not Fit,11,4,4,16,16,32,86,54201,17682,192
15727,Not Fit,5,4,4,16,16,128,86,54201,17686,192
15728,Not Fit,8,4,4,16,16,64,86,54200,17681,192
15726,Not Fit,11,4,4,16,16,32,86,54201,17682,192
41656,Not Fit,5,4,4,16,16,128,86,54201,17686,192
41657,Not Fit,8,4,4,16,16,64,86,54201,17684,192
41655,Not Fit,11,4,4,16,16,32,86,54201,17682,192
41895,Not Fit,5,4,4,16,16,128,86,54201,17686,192
41896,Not Fit,8,4,4,16,16,64,86,54201,17684,192
41894,Not Fit,11,4,4,16,16,32,86,54201,17682,192
8724,Not Fit,5,4,4,16,16,128,86,54201,17686,192
8725,Not Fit,8,4,4,16,16,64,86,54201,17684,192
8723,Not Fit,11,4,4,16,16,32,86,54201,17682,192
3411,Not Fit,5,4,4,16,16,128,86,54201,17686,192
3412,Not Fit,8,4,4,16,16,64,86,54201,17684,192
3410,Not Fit,11,4,4,16,16,32,86,54201,17682,192
22052,Not Fit,5,4,4,16,16,128,86,54201,17689,192
