model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_dense_resource,n_inputs_resources,sequence_length_resource,dense_size_resource,bram_18k,lut,ff,dsp48e
19006,Not Fit,17,1,1,16,1,16,0,58131,13498,159
43117,Not Fit,18,1,1,16,1,1,0,4122,2181.5,12.5
43118,Not Fit,16,1,1,64,1,16,0,237705,53871,500
19005,Not Fit,15,1,1,128,1,16,0,485118,113751,885
16933,Not Fit,17,2,2,16,1,16,57,33536,10974,128
16934,Not Fit,19,2,2,16,1,1,0,3042,1947,8
49193,Not Fit,21,2,2,16,1,16,57,33536,10976,128
30546,Not Fit,17,2,2,16,1,1,0,3042,1952.5,8
16218,Not Fit,21,2,2,16,1,16,57,33536,10977,128
16219,Not Fit,23,2,2,16,1,1,0,3042,1954,8
32948,Not Fit,18,2,2,16,1,16,57,33536,10977,128
32949,Not Fit,20,2,2,16,1,1,0,3042,1951,8
39433,Not Fit,18,2,2,16,1,16,57,33535,10971,128
18755,Not Fit,19,2,2,16,1,1,0,3042,1951,8
22562,Not Fit,23,2,2,16,1,16,57,33535.6666666667,10974,128
36987,Not Fit,18,2,2,16,1,1,0,3042,1949,8
8450,Not Fit,22,2,2,16,1,16,57,33536,10977,128
46857,Not Fit,19,2,2,16,1,1,0,3042,1951,8
19925,Not Fit,19,2,2,16,1,16,57,33536,10977,128
19926,Not Fit,21,2,2,16,1,1,0,3042,1951,8
1391,Not Fit,18,2,2,32,1,1,0,5901.25,3880.5,16
27707,Not Fit,19,2,2,32,1,32,228,131199,42891,512
31958,Not Fit,19,2,2,32,1,1,0,5902,3885,16
1392,Not Fit,16,2,2,64,1,32,455,260969,87193,1024
18756,Not Fit,17,2,2,64,1,16,228,132024.5,45927,512
27708,Not Fit,17,2,2,64,1,32,455,260968,87190,1024
22564,Not Fit,17,2,2,64,1,16,228,132025,45929,512
29533,Not Fit,15,2,2,128,1,32,910,520880,175766,2048
16932,Not Fit,15,2,2,128,1,16,455,263425,92521,1024
8984,Not Fit,15,2,2,128,1,32,910,520880,175766,2048
30545,Not Fit,15,2,2,128,1,16,455,263425,92504.5,1023.5
47803,Not Fit,15,2,2,128,1,32,910,520880,175766,2048
46858,Not Fit,17,2,2,128,1,16,455,263382.8,92519.8,1024
31959,Not Fit,17,2,2,128,1,32,910,520812,175771,2048
19927,Not Fit,17,2,2,128,1,16,455,263355,92520,1024
40222,Not Fit,12,4,4,16,1,16,29,21471,7588,64
15614,Not Fit,13,4,4,16,1,1,0,2191,1626,4
30775,Not Fit,17,4,4,16,1,16,29,21471,7591,64
45975,Not Fit,13,4,4,16,1,1,0,2191,1621.66666666667,4
16329,Not Fit,13,4,4,16,1,16,29,21471,7591,64
10599,Not Fit,17,4,4,16,1,1,0,2191,1622.5,4
36109,Not Fit,21,4,4,16,1,16,29,21471,7591,64
27843,Not Fit,17,4,4,16,1,1,0,2191,1623,4
13189,Not Fit,21,4,4,16,1,16,29,21471,7591,64
13190,Not Fit,23,4,4,16,1,1,0,2191,1623,4
39727,Not Fit,17,4,4,16,1,16,29,21471,7591,64
25820,Not Fit,18,4,4,16,1,1,0,2191,1624.5,4
19513,Not Fit,22,4,4,16,1,16,29,21471,7591,64
31134,Not Fit,18,4,4,16,1,1,0,2191,1626,4
15733,Not Fit,22,4,4,16,1,16,29,21471,7590,64
15734,Not Fit,24,4,4,16,1,1,0,2191,1626,4
41659,Not Fit,18,4,4,16,1,16,29,21471,7591,64
41660,Not Fit,20,4,4,16,1,1,0,2191,1626,4
8727,Not Fit,19,4,4,16,1,16,29,21471,7591,64
22056,Not Fit,19,4,4,16,1,1,0,2191,1626,4
17786,Not Fit,23,4,4,16,1,16,29,21471,7589,64
1528,Not Fit,19,4,4,16,1,1,0,2191,1625,4
38232,Not Fit,23,4,4,16,1,16,29,21471,7591,64
38233,Not Fit,25,4,4,16,1,1,0,2191,1626,4
6171,Not Fit,17,4,4,16,1,16,29,21471,7591,64
29749,Not Fit,17,4,4,16,1,1,0,2191,1621,4
15301,Not Fit,21,4,4,16,1,16,29,21471,7590,64
15302,Not Fit,23,4,4,16,1,1,0,2191,1623,4
22112,Not Fit,18,4,4,16,1,16,29,21471,7591,64
27528,Not Fit,18,4,4,16,1,1,0,2191,1622.5,4
12469,Not Fit,22,4,4,16,1,16,29,21470.6666666667,7589,64
38460,Not Fit,18,4,4,16,1,1,0,2191,1624.8,4
2106,Not Fit,22,4,4,16,1,16,29,21471,7590,64
43482,Not Fit,19,4,4,16,1,1,0,2191,1623,4
12509,Not Fit,19,4,4,16,1,16,29,21471,7591,64
12510,Not Fit,21,4,4,16,1,1,0,2191,1626,4
40861,Not Fit,17,4,4,32,1,32,114,105834,25232,256
40860,Not Fit,19,4,4,32,1,1,0,4877,2978,8
18668,Not Fit,17,4,4,32,1,32,114,105835,25238,256
5841,Not Fit,17,4,4,32,1,1,0,4877,2978,8
34917,Not Fit,21,4,4,32,1,32,114,105835,25237,256
34914,Not Fit,23,4,4,32,1,1,0,4877,2978,8
13932,Not Fit,18,4,4,32,1,32,114,105835,25238,256
13931,Not Fit,20,4,4,32,1,1,0,4877,2978,8
21320,Not Fit,18,4,4,32,1,32,114,105835,25235,256
41898,Not Fit,19,4,4,32,1,1,0,4877,2976,8
3417,Not Fit,23,4,4,32,1,32,114,105835,25235,256
12281,Not Fit,18,4,4,32,1,1,0,4877,2978,8
43563,Not Fit,18,4,4,32,1,32,114,105835,25235,256
43562,Not Fit,20,4,4,32,1,1,0,4877,2978,8
27403,Not Fit,22,4,4,32,1,32,114,105835,25237,256
27400,Not Fit,24,4,4,32,1,1,0,4877,2978,8
48748,Not Fit,23,4,4,32,1,32,114,105835,25236,256
48745,Not Fit,25,4,4,32,1,1,0,4877,2978,8
41480,Not Fit,17,4,4,64,1,1,0,11477,5936,16
25821,Not Fit,16,4,4,64,1,16,114,83876,28270,256
33463,Not Fit,16,4,4,64,1,64,455,540851,100603,1024
33462,Not Fit,18,4,4,64,1,1,0,11477,5938,16
13933,Not Fit,16,4,4,64,1,32,228,210260,52382,512
19515,Not Fit,16,4,4,64,1,16,114,83876,28270,256
41899,Not Fit,17,4,4,64,1,32,228,210260,52382,512
8729,Not Fit,17,4,4,64,1,16,114,83876,28270,256
3418,Not Fit,17,4,4,64,1,32,228,210260,52382,512
38234,Not Fit,17,4,4,64,1,16,114,83876,28273,256
10598,Not Fit,15,4,4,128,1,16,228,167184,57708,512
16385,Not Fit,15,4,4,128,1,64,910,1079840,206076,2048
40859,Not Fit,15,4,4,128,1,32,455,419523,107139,1024
27842,Not Fit,15,4,4,128,1,16,228,167184,57708,512
41479,Not Fit,15,4,4,128,1,64,910,1079840,206076,2048
18666,Not Fit,15,4,4,128,1,32,455,419520,107164,1024
13186,Not Fit,15,4,4,128,1,16,228,167184,57708,512
5840,Not Fit,15,4,4,128,1,32,455,419520,107164,1024
39726,Not Fit,15,4,4,128,1,16,228,167184,57708,512
34913,Not Fit,15,4,4,128,1,32,455,419520,107164,1024
31133,Not Fit,16,4,4,128,1,16,228,167184,57708,512
21318,Not Fit,16,4,4,128,1,32,455,419520,107164,1024
22055,Not Fit,17,4,4,128,1,16,228,167184,57708,512
43585,Not Fit,17,4,4,128,1,32,455,419520,107164,1024
17783,Not Fit,17,4,4,128,1,16,228,167184,57708,512
12282,Not Fit,16,4,4,128,1,32,455,419450,107163,1024
22114,Not Fit,16,4,4,128,1,16,228,167115,57710,512
27404,Not Fit,16,4,4,128,1,32,455,419451,107166,1024
7741,Not Fit,17,4,4,128,1,16,228,167115,57710,512
48749,Not Fit,17,4,4,128,1,32,455,419451,107166,1024
32044,Not Fit,16,4,4,128,1,16,228,167115,57710,512
12511,Not Fit,17,4,4,256,1,16,455,333562.277777778,116075.888888889,1023.94444444444
44312,Not Fit,8,16,16,16,1,1,0,1206,1272,1
10878,Not Fit,12,16,16,16,1,16,7,5374,3160,16
38302,Not Fit,8,16,16,16,1,1,0,1206,1272,1
7459,Not Fit,8,16,16,16,1,16,7,5374,3160,16
42144,Fit,9,16,16,16,1,1,0,1206,1272,1
13875,Fit,13,16,16,16,1,16,7,5374,3160,16
47197,Fit,10,16,16,16,1,1,0,1206,1272,1
17596,Not Fit,14,16,16,16,1,16,7,5374,3160,16
20405,Not Fit,10,16,16,16,1,1,0,1206,1272,1
49667,Fit,9,16,16,16,1,16,7,5374,3160,16
49668,Fit,11,16,16,16,1,1,0,1206,1272,1
32792,Not Fit,13,16,16,16,1,16,7,5374,3160,16
32794,Not Fit,15,16,16,16,1,1,0,1206,1272,1
41115,Not Fit,14,16,16,16,1,16,7,5374,3160,16
41116,Not Fit,16,16,16,16,1,1,0,1206,1272,1
8282,Not Fit,10,16,16,16,1,16,7,5374,3160,16
20594,Fit,11,16,16,16,1,1,0,1206,1272,1
31319,Fit,11,16,16,16,1,16,7,5374,3160,16
31321,Fit,13,16,16,16,1,1,0,1203,1269,1
46013,Fit,15,16,16,16,1,16,7,5374,3160,16
2421,Fit,11,16,16,16,1,1,0,1206,1272,1
32518,Fit,11,16,16,16,1,16,7,5374,3160,16
48601,Fit,11,16,16,16,1,1,0,1204.5,1270.5,1
3203,Fit,15,16,16,16,1,16,7,5374,3160,16
17028,Fit,12,16,16,16,1,1,0,1206,1272,1
28777,Fit,12,16,16,16,1,16,7,5374,3160,16
28778,Fit,14,16,16,16,1,1,0,1206,1272,1
47330,Fit,16,16,16,16,1,16,7,5374,3160,16
47331,Fit,18,16,16,16,1,1,0,1206,1272,1
22773,Not Fit,16,16,16,16,1,16,7,5374,3160,16
22774,Not Fit,18,16,16,16,1,1,0,1206,1272,1
13446,Not Fit,12,16,16,16,1,16,7,5374,3160,16
13648,Fit,13,16,16,16,1,1,0,1206,1272,1
26727,Fit,13,16,16,16,1,16,7,5374,3160,16
26728,Fit,15,16,16,16,1,1,0,1206,1272,1
42481,Fit,17,16,16,16,1,16,7,5374,3160,16
26110,Not Fit,13,16,16,16,1,1,0,1206,1272,1
14205,Not Fit,13,16,16,16,1,16,7,5374,3160,16
14206,Not Fit,15,16,16,16,1,1,0,1206,1272,1
45324,Not Fit,13,16,16,16,1,16,7,5374,3160,16
45325,Not Fit,15,16,16,16,1,1,0,1206,1272,1
22035,Not Fit,17,16,16,16,1,16,7,5374,3160,16
38665,Not Fit,11,16,16,16,1,1,0,1206,1272,1
6767,Not Fit,11,16,16,16,1,16,7,5374,3160,16
22821,Not Fit,11,16,16,16,1,1,0,1206,1272,1
42321,Not Fit,11,16,16,16,1,16,7,5374,3160,16
42322,Not Fit,13,16,16,16,1,1,0,1206,1272,1
26609,Not Fit,15,16,16,16,1,16,7,5374,3160,16
40899,Fit,12,16,16,16,1,1,0,1206,1272,1
9862,Not Fit,12,16,16,16,1,16,7,5374,3160,16
9863,Not Fit,14,16,16,16,1,1,0,1206,1272,1
2323,Not Fit,16,16,16,16,1,16,7,5374,3160,16
2324,Not Fit,18,16,16,16,1,1,0,1206,1272,1
37081,Not Fit,12,16,16,16,1,16,7,5374,3160,16
32307,Not Fit,13,16,16,16,1,1,0,1206,1272,1
2198,Not Fit,13,16,16,16,1,16,7,5374,3160,16
2539,Not Fit,13,16,16,16,1,1,0,1206,1272,1
37521,Not Fit,13,16,16,16,1,16,7,5374,3160,16
37522,Not Fit,15,16,16,16,1,1,0,1206,1272,1
33633,Fit,21,16,16,16,1,16,7,5374,3160,16
33634,Fit,23,16,16,16,1,1,0,1206,1272,1
44853,Fit,17,16,16,16,1,16,7,5374,3160,16
44854,Fit,19,16,16,16,1,1,0,1206,1272,1
22612,Fit,21,16,16,16,1,16,7,5374,3160,16
26899,Fit,17,16,16,16,1,1,0,1206,1272,1
13745,Fit,17,16,16,16,1,16,7,5374,3160,16
13746,Fit,19,16,16,16,1,1,0,1206,1272,1
37191,Fit,22,16,16,16,1,16,7,5374,3160,16
2246,Fit,18,16,16,16,1,1,0,1206,1272,1
32451,Fit,18,16,16,16,1,16,7,5374,3160,16
32452,Fit,20,16,16,16,1,1,0,1206,1272,1
3389,Not Fit,22,16,16,16,1,16,7,5374,3160,16
3390,Not Fit,24,16,16,16,1,1,0,1206,1272,1
39689,Fit,23,16,16,16,1,16,7,5374,3160,16
39690,Fit,25,16,16,16,1,1,0,1206,1272,1
2617,Not Fit,23,16,16,16,1,16,7,5374,3160,16
1634,Not Fit,19,16,16,16,1,1,0,1206,1272,1
33068,Not Fit,19,16,16,16,1,16,7,5374,3160,16
43380,Not Fit,17,16,16,16,1,1,0,1206,1272,1
14936,Not Fit,21,16,16,16,1,16,7,5374,3160,16
14937,Not Fit,23,16,16,16,1,1,0,1206,1272,1
2298,Not Fit,21,16,16,16,1,16,7,5374,3160,16
44831,Not Fit,18,16,16,16,1,1,0,1206,1272,1
12589,Not Fit,22,16,16,16,1,16,7,5374,3160,16
22589,Not Fit,18,16,16,16,1,1,0,1204.5,1270.5,1
12637,Not Fit,18,16,16,16,1,16,7,5374,3160,16
12638,Not Fit,20,16,16,16,1,1,0,1206,1272,1
42374,Not Fit,18,16,16,16,1,16,7,5374,3160,16
42375,Not Fit,20,16,16,16,1,1,0,1206,1272,1
26929,Not Fit,22,16,16,16,1,16,7,5374,3160,16
26930,Not Fit,24,16,16,16,1,1,0,1206,1272,1
21695,Not Fit,23,16,16,16,1,16,7,5374,3160,16
21696,Not Fit,25,16,16,16,1,1,0,1206,1272,1
42983,Not Fit,19,16,16,16,1,16,7,5374,3160,16
42984,Not Fit,21,16,16,16,1,1,0,1206,1272,1
26233,Not Fit,23,16,16,16,1,16,7,5374,3160,16
26234,Not Fit,25,16,16,16,1,1,0,1206,1272,1
13111,Not Fit,19,16,16,16,1,16,7,5374,3160,16
13112,Not Fit,21,16,16,16,1,1,0,1206,1272,1
11937,Not Fit,13,16,16,16,1,16,7,5374,3160,16
45727,Not Fit,10,16,16,16,1,1,0,1206,1272,1
19644,Not Fit,14,16,16,16,1,16,7,5374,3160,16
19645,Not Fit,16,16,16,16,1,1,0,1206,1272,1
36756,Not Fit,13,16,16,16,1,16,7,5374,3160,16
36758,Not Fit,15,16,16,16,1,1,0,1206,1272,1
38054,Not Fit,14,16,16,16,1,16,7,5374,3160,16
16762,Not Fit,11,16,16,16,1,1,0,1206,1272,1
29221,Not Fit,11,16,16,16,1,16,7,5374,3160,16
46150,Not Fit,11,16,16,16,1,1,0,1206,1272,1
19851,Not Fit,15,16,16,16,1,16,7,5374,3160,16
18893,Not Fit,11,16,16,16,1,1,0,1206,1272,1
27305,Not Fit,11,16,16,16,1,16,7,5374,3160,16
27307,Not Fit,13,16,16,16,1,1,0,1206,1272,1
48034,Not Fit,15,16,16,16,1,16,7,5374,3160,16
19059,Fit,12,16,16,16,1,1,0,1206,1272,1
31941,Fit,12,16,16,16,1,16,7,5374,3160,16
31942,Fit,14,16,16,16,1,1,0,1206,1272,1
45884,Not Fit,16,16,16,16,1,16,7,5374,3160,16
41747,Not Fit,12,16,16,16,1,1,0,1206,1272,1
8015,Not Fit,12,16,16,16,1,16,7,5374,3160,16
11732,Not Fit,13,16,16,16,1,1,0,1206,1272,1
23798,Not Fit,13,16,16,16,1,16,7,5374,3160,16
23799,Not Fit,15,16,16,16,1,1,0,1206,1272,1
44767,Not Fit,17,16,16,16,1,16,7,5374,3160,16
44768,Not Fit,19,16,16,16,1,1,0,1206,1272,1
37861,Not Fit,17,16,16,16,1,16,7,5374,3160,16
37845,Not Fit,12,16,16,16,1,1,0,1206,1272,1
7723,Not Fit,12,16,16,16,1,16,7,5374,3160,16
19815,Not Fit,12,16,16,16,1,1,0,1204.5,1270.5,1
31402,Not Fit,12,16,16,16,1,16,7,5374,3160,16
31403,Not Fit,14,16,16,16,1,1,0,1206,1272,1
46113,Not Fit,16,16,16,16,1,16,7,5374,3160,16
36046,Not Fit,13,16,16,16,1,1,0,1206,1272,1
4318,Not Fit,13,16,16,16,1,16,7,5374,3160,16
4319,Not Fit,15,16,16,16,1,1,0,1206,1272,1
18251,Not Fit,17,16,16,16,1,16,7,5374,3160,16
18252,Not Fit,19,16,16,16,1,1,0,1206,1272,1
37409,Fit,21,16,16,16,1,16,7,5374,3160,16
41816,Fit,17,16,16,16,1,1,0,1206,1272,1
8092,Fit,17,16,16,16,1,16,7,5374,3160,16
8093,Fit,19,16,16,16,1,1,0,1206,1272,1
38437,Fit,21,16,16,16,1,16,7,5374,3160,16
38438,Fit,23,16,16,16,1,1,0,1206,1272,1
35156,Fit,22,16,16,16,1,16,7,5374,3160,16
46203,Not Fit,18,16,16,16,1,1,0,1206,1272,1
20143,Not Fit,22,16,16,16,1,16,7,5374,3160,16
18645,Not Fit,18,16,16,16,1,1,0,1206,1272,1
26998,Not Fit,18,16,16,16,1,16,7,5374,3160,16
26999,Not Fit,20,16,16,16,1,1,0,1206,1272,1
47942,Not Fit,22,16,16,16,1,16,7,5374,3160,16
17938,Not Fit,19,16,16,16,1,1,0,1204.5,1270.5,1
27731,Not Fit,19,16,16,16,1,16,7,5374,3160,16
27732,Not Fit,21,16,16,16,1,1,0,1206,1272,1
19293,Not Fit,23,16,16,16,1,16,7,5374,3160,16
45462,Not Fit,17,16,16,16,1,1,0,1206,1272,1
13049,Not Fit,21,16,16,16,1,16,7,5374,3160,16
20207,Not Fit,17,16,16,16,1,1,0,1206,1272,1
31705,Not Fit,17,16,16,16,1,16,7,5374,3160,16
31706,Not Fit,19,16,16,16,1,1,0,1203,1269,1
18621,Not Fit,21,16,16,16,1,16,7,5374,3160,16
43400,Not Fit,18,16,16,16,1,1,0,1206,1272,1
16060,Not Fit,22,16,16,16,1,16,7,5374,3160,16
16061,Not Fit,24,16,16,16,1,1,0,1206,1272,1
41791,Not Fit,22,16,16,16,1,16,7,5374,3160,16
38530,Not Fit,18,16,16,16,1,1,0,1206,1272,1
7055,Not Fit,18,16,16,16,1,16,7,5374,3160,16
7056,Not Fit,20,16,16,16,1,1,0,1206,1272,1
18131,Not Fit,23,16,16,16,1,16,7,5374,3160,16
37700,Not Fit,19,16,16,16,1,1,0,1206,1272,1
7628,Not Fit,19,16,16,16,1,16,7,5374,3160,16
7629,Not Fit,21,16,16,16,1,1,0,1206,1272,1
42823,Not Fit,12,16,16,16,1,16,7,5374,3160,16
42824,Not Fit,14,16,16,16,1,1,0,1206,1272,1
26043,Not Fit,16,16,16,16,1,16,7,5374,3160,16
26044,Not Fit,18,16,16,16,1,1,0,1206,1272,1
29026,Not Fit,17,16,16,16,1,16,7,5374,3160,16
29027,Not Fit,19,16,16,16,1,1,0,1206,1272,1
10277,Not Fit,17,16,16,16,1,16,7,5374,3160,16
28804,Not Fit,17,16,16,16,1,1,0,1206,1272,1
17133,Not Fit,17,16,16,16,1,16,7,5374,3160,16
17134,Not Fit,19,16,16,16,1,1,0,1206,1272,1
29837,Not Fit,21,16,16,16,1,16,7,5374,3160,16
6321,Fit,18,16,16,16,1,1,0,1206,1272,1
5418,Not Fit,22,16,16,16,1,16,7,5374,3160,16
5419,Not Fit,24,16,16,16,1,1,0,1206,1272,1
40662,Not Fit,18,16,16,16,1,16,7,5374,3160,16
3032,Not Fit,19,16,16,16,1,1,0,1206,1272,1
48433,Not Fit,23,16,16,16,1,16,7,5374,3160,16
10330,Not Fit,19,16,16,16,1,1,0,1206,1272,1
40010,Not Fit,19,16,16,16,1,16,7,5374,3160,16
40011,Not Fit,21,16,16,16,1,1,0,1206,1272,1
6095,Not Fit,23,16,16,16,1,16,7,5374,3160,16
5364,Not Fit,17,16,16,16,1,1,0,1206,1272,1
39987,Not Fit,17,16,16,16,1,16,7,5374,3160,16
31083,Not Fit,18,16,16,16,1,1,0,1206,1272,1
47608,Not Fit,18,16,16,16,1,16,7,5374,3160,16
47609,Not Fit,20,16,16,16,1,1,0,1206,1272,1
28857,Not Fit,22,16,16,16,1,16,7,5374,3160,16
22077,Not Fit,19,16,16,16,1,1,0,1206,1272,1
12814,Not Fit,19,16,16,16,1,16,7,5374,3160,16
30506,Not Fit,19,16,16,16,1,1,0,1206,1272,1
20975,Not Fit,19,16,16,16,1,16,7,5374,3160,16
20976,Not Fit,21,16,16,16,1,1,0,1206,1272,1
26784,Not Fit,9,16,16,32,1,1,0,2468,2422,2
13637,Not Fit,9,16,16,32,1,32,29,28032,9853,64
28766,Not Fit,10,16,16,32,1,1,0,2468,2422,2
17091,Not Fit,10,16,16,32,1,32,29,28032,9853,64
2213,Not Fit,9,16,16,32,1,1,0,2468,2422,2
32296,Not Fit,9,16,16,32,1,32,29,28032,9853,64
9851,Not Fit,10,16,16,32,1,1,0,2468,2422,2
40943,Not Fit,10,16,16,32,1,32,29,28032,9853,64
40942,Not Fit,12,16,16,32,1,1,0,2468,2422,2
31498,Not Fit,15,16,16,32,1,32,29,28032,9853,64
31495,Not Fit,17,16,16,32,1,1,0,2468,2422,2
32644,Not Fit,15,16,16,32,1,32,29,28032,9853,64
32641,Not Fit,17,16,16,32,1,1,0,2468,2422,2
3806,Not Fit,11,16,16,32,1,32,29,28032,9853,64
3805,Not Fit,13,16,16,32,1,1,0,2468,2422,2
47229,Not Fit,12,16,16,32,1,32,29,28032,9853,64
47228,Not Fit,14,16,16,32,1,1,0,2468,2422,2
28587,Not Fit,16,16,16,32,1,32,29,28032,9853,64
12267,Not Fit,12,16,16,32,1,1,0,2468,2422,2
22900,Not Fit,12,16,16,32,1,32,29,28032,9853,64
22899,Not Fit,14,16,16,32,1,1,0,2468,2422,2
44991,Not Fit,16,16,16,32,1,32,29,28032,9853,64
44988,Not Fit,18,16,16,32,1,1,0,2468,2422,2
42130,Not Fit,13,16,16,32,1,32,29,28032,9853,64
42129,Not Fit,15,16,16,32,1,1,0,2468,2422,2
26342,Not Fit,17,16,16,32,1,32,29,28032,9853,64
42875,Not Fit,13,16,16,32,1,1,0,2468,2422,2
14687,Not Fit,17,16,16,32,1,32,29,28032,9853,64
14684,Not Fit,19,16,16,32,1,1,0,2468,2422,2
9345,Not Fit,16,16,16,32,1,32,29,28032,9853,64
32659,Not Fit,12,16,16,32,1,1,0,2468,2422,2
1795,Not Fit,12,16,16,32,1,32,29,28032,9853,64
1794,Not Fit,14,16,16,32,1,1,0,2468,2422,2
1955,Not Fit,17,16,16,32,1,32,29,28032,9853,64
828,Fit,17,16,16,32,1,1,0,2468,2422,2
34152,Fit,17,16,16,32,1,32,29,28032,9853,64
12420,Fit,17,16,16,32,1,1,0,2468,2422,2
23055,Fit,17,16,16,32,1,32,29,28032,9853,64
23054,Fit,19,16,16,32,1,1,0,2468,2422,2
45130,Not Fit,21,16,16,32,1,32,29,28032,9853,64
42035,Fit,17,16,16,32,1,1,0,2468,2422,2
13979,Not Fit,21,16,16,32,1,32,29,28032,9853,64
3556,Fit,18,16,16,32,1,1,0,2468,2422,2
36877,Fit,18,16,16,32,1,32,29,28032,9853,64
36876,Fit,20,16,16,32,1,1,0,2468,2422,2
48530,Not Fit,22,16,16,32,1,32,29,28032,9853,64
48527,Not Fit,24,16,16,32,1,1,0,2468,2422,2
32998,Not Fit,22,16,16,32,1,32,29,28032,9853,64
36821,Not Fit,18,16,16,32,1,1,0,2468,2422,2
3668,Not Fit,18,16,16,32,1,32,29,28032,9853,64
5818,Fit,19,16,16,32,1,1,0,2468,2422,2
39566,Not Fit,19,16,16,32,1,32,29,28032,9853,64
37300,Not Fit,19,16,16,32,1,1,0,2468,2422,2
2809,Not Fit,19,16,16,32,1,32,29,28032,9853,64
2808,Not Fit,21,16,16,32,1,1,0,2468,2422,2
33552,Not Fit,23,16,16,32,1,32,29,28032,9853,64
33548,Not Fit,25,16,16,32,1,1,0,2468,2422,2
15257,Not Fit,17,16,16,32,1,32,29,28032,9853,64
32902,Not Fit,17,16,16,32,1,1,0,2468,2422,2
2064,Not Fit,17,16,16,32,1,32,29,28032,9853,64
2062,Not Fit,19,16,16,32,1,1,0,2468,2422,2
36854,Not Fit,21,16,16,32,1,32,29,28032,9853,64
23075,Not Fit,18,16,16,32,1,1,0,2468,2422,2
12397,Not Fit,18,16,16,32,1,32,29,28032,9853,64
45194,Not Fit,18,16,16,32,1,1,0,2468,2422,2
12443,Not Fit,22,16,16,32,1,32,29,28032,9853,64
13954,Not Fit,18,16,16,32,1,1,0,2468,2422,2
26453,Not Fit,18,16,16,32,1,32,29,28032,9853,64
26451,Not Fit,20,16,16,32,1,1,0,2468,2422,2
41953,Not Fit,22,16,16,32,1,32,29,28032,9853,64
30060,Not Fit,19,16,16,32,1,1,0,2468,2422,2
21284,Not Fit,19,16,16,32,1,32,29,28032,9853,64
14527,Not Fit,19,16,16,32,1,1,0,2468,2422,2
25876,Not Fit,19,16,16,32,1,32,29,28032,9853,64
25875,Not Fit,21,16,16,32,1,1,0,2468,2422,2
42632,Not Fit,23,16,16,32,1,32,29,28032,9853,64
42629,Not Fit,25,16,16,32,1,1,0,2468,2422,2
45714,Not Fit,12,16,16,32,1,32,29,28032,9853,64
45713,Not Fit,14,16,16,32,1,1,0,2468,2422,2
23305,Not Fit,17,16,16,32,1,32,29,28032,9853,64
23302,Not Fit,19,16,16,32,1,1,0,2468,2422,2
7275,Not Fit,16,16,16,32,1,32,29,28032,9853,64
7272,Not Fit,18,16,16,32,1,1,0,2468,2422,2
4139,Not Fit,17,16,16,32,1,32,29,28032,9853,64
2723,Not Fit,17,16,16,32,1,1,0,2468,2422,2
37606,Not Fit,17,16,16,32,1,32,29,28032,9853,64
37605,Not Fit,19,16,16,32,1,1,0,2468,2422,2
48491,Not Fit,21,16,16,32,1,32,29,28032,9853,64
48488,Not Fit,23,16,16,32,1,1,0,2468,2422,2
8301,Not Fit,21,16,16,32,1,32,29,28032,9853,64
6958,Not Fit,17,16,16,32,1,1,0,2468,2422,2
38898,Not Fit,17,16,16,32,1,32,29,28032,9853,64
447,Fit,18,16,16,32,1,1,0,2468,2422,2
34464,Not Fit,18,16,16,32,1,32,29,28032,9853,64
34463,Not Fit,20,16,16,32,1,1,0,2468,2422,2
20311,Not Fit,18,16,16,32,1,32,29,28032,9853,64
20310,Not Fit,20,16,16,32,1,1,0,2468,2422,2
27552,Not Fit,22,16,16,32,1,32,29,28032,9853,64
31780,Not Fit,19,16,16,32,1,1,0,2468,2422,2
19540,Not Fit,19,16,16,32,1,32,29,28032,9853,64
27620,Not Fit,17,16,16,32,1,1,0,2468,2422,2
18536,Not Fit,17,16,16,32,1,32,29,28032,9850,64
18534,Not Fit,19,16,16,32,1,1,0,2468,2422,2
15856,Not Fit,18,16,16,32,1,32,29,28032,9853,64
8324,Not Fit,18,16,16,32,1,1,0,2468,2422,2
6851,Not Fit,22,16,16,32,1,32,29,28032,9853,64
28148,Not Fit,19,16,16,32,1,1,0,2468,2422,2
17707,Not Fit,19,16,16,32,1,32,29,28032,9853,64
17706,Not Fit,21,16,16,32,1,1,0,2468,2422,2
7475,Not Fit,23,16,16,32,1,32,29,28032,9853,64
7472,Not Fit,25,16,16,32,1,1,0,2468,2422,2
41362,Not Fit,21,16,16,32,1,32,29,28032,9853,64
47099,Not Fit,17,16,16,32,1,1,0,2468,2422,2
17439,Not Fit,21,16,16,32,1,32,29,28032,9853,64
21421,Not Fit,17,16,16,32,1,1,0,2468,2422,2
30322,Not Fit,17,16,16,32,1,32,29,28032,9850,64
30321,Not Fit,19,16,16,32,1,1,0,2468,2422,2
39393,Not Fit,22,16,16,32,1,32,29,28032,9853,64
39502,Not Fit,18,16,16,32,1,1,0,2468,2422,2
5584,Not Fit,18,16,16,32,1,32,29,28032,9853,64
5583,Not Fit,20,16,16,32,1,1,0,2468,2422,2
40450,Not Fit,23,16,16,32,1,32,29,28032,9853,64
46272,Not Fit,18,16,16,32,1,1,0,2468,2422,2
21001,Not Fit,22,16,16,32,1,32,29,28032,9853,64
17317,Not Fit,18,16,16,32,1,1,0,2468,2422,2
