layer_name,reuse_factor,sequence_length,lstm_size,n_in,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
lstm_1407,32,32,16,16,55790.3900074074,19508.1228365079,61.0,112.0,1932.08564590965,1965.32297924298
lstm_1407,64,32,16,16,60484.6887795919,16077.95775,47.0,80.0,2959.47215238095,2993.00815238095
lstm_1407,128,32,16,16,40187.5432622827,16508.92,41.0,64.0,4975.47263492064,5007.47263492064
lstm_1407,256,32,16,16,40187.5432622827,16508.92,41.0,64.0,10055.5173333333,10583.0906666667
lstm_1479,32,32,32,16,116981.228666666,44524.3948809524,151.56,289.28,1914.21421642062,1946.21421642062
lstm_1479,64,32,32,16,114901.225853175,35841.0706714286,108.0,192.0,2945.128,2977.128
lstm_1479,128,32,32,16,101032.653298611,29310.0908333333,86.0,144.0,4993.0,5025.0
lstm_1479,256,32,32,16,101032.653298611,29310.0908333333,86.0,144.0,10179.9481142857,9879.66651428572
