model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_latency,cnn_filters_latency,n_inputs_latency,sequence_length_latency,latency_min,latency_max
14932,Not Fit,8,16,16,32,32,64,204,850
14933,Not Fit,11,16,16,32,32,32,108,450
32899,Not Fit,5,16,16,32,32,128,396,1650
32900,Not Fit,8,16,16,32,32,64,204,850
32901,Not Fit,11,16,16,32,32,32,108,450
2059,Not Fit,5,16,16,32,32,128,396,1650
2060,Not Fit,8,16,16,32,32,64,204,850
2061,Not Fit,11,16,16,32,32,32,108,450
2293,Not Fit,5,16,16,32,32,128,396,1650
2294,Not Fit,8,16,16,32,32,64,204,850
2295,Not Fit,11,16,16,32,32,32,108,450
3355,Not Fit,5,16,16,32,32,128,396,1650
3356,Not Fit,8,16,16,32,32,64,204,850
3357,Not Fit,11,16,16,32,32,32,108,450
18732,Not Fit,5,16,16,32,32,128,396,1650
18733,Not Fit,8,16,16,32,32,64,204,850
18734,Not Fit,11,16,16,32,32,32,108,450
36847,Not Fit,5,16,16,32,32,128,396,1650
36848,Not Fit,8,16,16,32,32,64,204,850
36849,Not Fit,11,16,16,32,32,32,108,450
44827,Not Fit,5,16,16,32,32,128,396,1650
44828,Not Fit,8,16,16,32,32,64,204,850
44829,Not Fit,11,16,16,32,32,32,108,450
23071,Not Fit,5,16,16,32,32,128,396,1650
23072,Not Fit,8,16,16,32,32,64,204,850
23073,Not Fit,11,16,16,32,32,32,108,450
12392,Not Fit,5,16,16,32,32,128,396,1650
12393,Not Fit,8,16,16,32,32,64,204,850
12394,Not Fit,11,16,16,32,32,32,108,450
12583,Not Fit,5,16,16,32,32,128,396,1650
12584,Not Fit,8,16,16,32,32,64,204,850
12585,Not Fit,11,16,16,32,32,32,108,450
8178,Not Fit,5,16,16,32,32,128,396,1650
8179,Not Fit,8,16,16,32,32,64,204,850
8180,Not Fit,11,16,16,32,32,32,108,450
22584,Not Fit,5,16,16,32,32,128,396,1650
22585,Not Fit,8,16,16,32,32,64,204,850
22586,Not Fit,11,16,16,32,32,32,108,450
45190,Not Fit,5,16,16,32,32,128,396,1650
45191,Not Fit,8,16,16,32,32,64,204,850
45192,Not Fit,11,16,16,32,32,32,108,450
41848,Not Fit,5,16,16,32,32,128,396,1650
41849,Not Fit,8,16,16,32,32,64,204,850
41850,Not Fit,11,16,16,32,32,32,108,450
12632,Not Fit,5,16,16,32,32,128,396,1650
12633,Not Fit,8,16,16,32,32,64,204,850
12634,Not Fit,11,16,16,32,32,32,108,450
8203,Not Fit,5,16,16,32,32,128,396,1650
8204,Not Fit,8,16,16,32,32,64,204,850
8205,Not Fit,11,16,16,32,32,32,108,450
12436,Not Fit,5,16,16,32,32,128,396,1650
12437,Not Fit,8,16,16,32,32,64,204,850
12438,Not Fit,11,16,16,32,32,32,108,450
13952,Not Fit,5,16,16,32,32,128,396,1650
13953,Not Fit,8,16,16,32,32,64,204,850
13954,Not Fit,11,16,16,32,32,32,108,450
42372,Not Fit,5,16,16,32,32,128,396,1650
42373,Not Fit,8,16,16,32,32,64,204,850
42374,Not Fit,11,16,16,32,32,32,108,450
26449,Not Fit,5,16,16,32,32,128,396,1650
26450,Not Fit,8,16,16,32,32,64,204,850
26451,Not Fit,11,16,16,32,32,32,108,450
26925,Not Fit,5,16,16,32,32,128,396,1650
26926,Not Fit,8,16,16,32,32,64,204,850
26927,Not Fit,11,16,16,32,32,32,108,450
41947,Not Fit,5,16,16,32,32,128,396,1650
41948,Not Fit,8,16,16,32,32,64,204,850
41949,Not Fit,11,16,16,32,32,32,108,450
30056,Not Fit,5,16,16,32,32,128,396,1650
30057,Not Fit,8,16,16,32,32,64,204,850
30058,Not Fit,11,16,16,32,32,32,108,450
21279,Not Fit,5,16,16,32,32,128,396,1650
21280,Not Fit,8,16,16,32,32,64,204,850
21281,Not Fit,11,16,16,32,32,32,108,450
21689,Not Fit,5,16,16,32,32,128,396,1650
21690,Not Fit,8,16,16,32,32,64,204,850
21691,Not Fit,11,16,16,32,32,32,108,450
668,Not Fit,5,16,16,32,32,128,396,1650
669,Not Fit,8,16,16,32,32,64,204,850
670,Not Fit,11,16,16,32,32,32,108,450
14523,Not Fit,5,16,16,32,32,128,396,1650
14525,Not Fit,8,16,16,32,32,64,204,850
14524,Not Fit,11,16,16,32,32,32,108,450
42978,Not Fit,5,16,16,32,32,128,396,1650
42979,Not Fit,8,16,16,32,32,64,204,850
42980,Not Fit,11,16,16,32,32,32,108,450
25871,Not Fit,5,16,16,32,32,128,396,1650
25872,Not Fit,8,16,16,32,32,64,204,850
25873,Not Fit,11,16,16,32,32,32,108,450
26226,Not Fit,5,16,16,32,32,128,396,1650
26227,Not Fit,8,16,16,32,32,64,204,850
26228,Not Fit,11,16,16,32,32,32,108,450
42625,Not Fit,5,16,16,32,32,128,396,1650
42626,Not Fit,8,16,16,32,32,64,204,850
42627,Not Fit,11,16,16,32,32,32,108,450
13110,Not Fit,5,16,16,32,32,128,396,1650
13111,Not Fit,8,16,16,32,32,64,204,850
13112,Not Fit,11,16,16,32,32,32,108,450
45459,Not Fit,5,16,16,32,32,256,780,3250
45460,Not Fit,8,16,16,32,32,128,396,1650
45461,Not Fit,11,16,16,32,32,64,204,850
21873,Not Fit,5,16,16,32,32,256,780,3250
21874,Not Fit,8,16,16,32,32,128,396,1650
21875,Not Fit,11,16,16,32,32,64,204,850
13044,Not Fit,5,16,16,32,32,256,780,3250
13045,Not Fit,8,16,16,32,32,128,396,1650
13046,Not Fit,11,16,16,32,32,64,204,850
20204,Not Fit,5,16,16,32,32,256,780,3250
20205,Not Fit,8,16,16,32,32,128,396,1650
20206,Not Fit,11,16,16,32,32,64,204,850
31702,Not Fit,5,16,16,32,32,256,780,3250
31703,Not Fit,8,16,16,32,32,128,396,1650
31704,Not Fit,11,16,16,32,32,64,204,850
27617,Not Fit,5,16,16,32,32,256,780,3250
27618,Not Fit,8,16,16,32,32,128,396,1650
27619,Not Fit,11,16,16,32,32,64,204,850
18531,Not Fit,5,16,16,32,32,256,780,3250
18532,Not Fit,8,16,16,32,32,128,396,1650
18533,Not Fit,11,16,16,32,32,64,204,850
18616,Not Fit,5,16,16,32,32,256,780,3250
18617,Not Fit,8,16,16,32,32,128,396,1650
18618,Not Fit,11,16,16,32,32,64,204,850
43396,Not Fit,5,16,16,32,32,256,780,3250
43397,Not Fit,8,16,16,32,32,128,396,1650
43398,Not Fit,11,16,16,32,32,64,204,850
15852,Not Fit,5,16,16,32,32,256,780,3250
15853,Not Fit,8,16,16,32,32,128,396,1650
15854,Not Fit,11,16,16,32,32,64,204,850
16054,Not Fit,5,16,16,32,32,256,780,3250
16055,Not Fit,8,16,16,32,32,128,396,1650
16056,Not Fit,11,16,16,32,32,64,204,850
6051,Not Fit,5,16,16,32,32,256,780,3250
6052,Not Fit,8,16,16,32,32,128,396,1650
6053,Not Fit,11,16,16,32,32,64,204,850
8320,Not Fit,5,16,16,32,32,256,780,3250
8321,Not Fit,8,16,16,32,32,128,396,1650
8322,Not Fit,11,16,16,32,32,64,204,850
41785,Not Fit,5,16,16,32,32,256,780,3250
41786,Not Fit,8,16,16,32,32,128,396,1650
41787,Not Fit,11,16,16,32,32,64,204,850
38528,Not Fit,5,16,16,32,32,256,780,3250
38529,Not Fit,8,16,16,32,32,128,396,1650
38530,Not Fit,11,16,16,32,32,64,204,850
7053,Not Fit,5,16,16,32,32,256,780,3250
7054,Not Fit,8,16,16,32,32,128,396,1650
7055,Not Fit,11,16,16,32,32,64,204,850
6845,Not Fit,5,16,16,32,32,256,780,3250
6846,Not Fit,8,16,16,32,32,128,396,1650
6847,Not Fit,11,16,16,32,32,64,204,850
28145,Not Fit,5,16,16,32,32,256,780,3250
28146,Not Fit,8,16,16,32,32,128,396,1650
28147,Not Fit,11,16,16,32,32,64,204,850
17703,Not Fit,5,16,16,32,32,256,780,3250
17704,Not Fit,8,16,16,32,32,128,396,1650
17705,Not Fit,11,16,16,32,32,64,204,850
18125,Not Fit,5,16,16,32,32,256,780,3250
18126,Not Fit,8,16,16,32,32,128,396,1650
18127,Not Fit,11,16,16,32,32,64,204,850
2512,Not Fit,5,16,16,32,32,256,780,3250
2513,Not Fit,8,16,16,32,32,128,396,1650
2514,Not Fit,11,16,16,32,32,64,204,850
37696,Not Fit,5,16,16,32,32,256,780,3250
37697,Not Fit,8,16,16,32,32,128,396,1650
37698,Not Fit,11,16,16,32,32,64,204,850
7624,Not Fit,5,16,16,32,32,256,780,3250
7625,Not Fit,8,16,16,32,32,128,396,1650
7626,Not Fit,11,16,16,32,32,64,204,850
7468,Not Fit,5,16,16,32,32,256,780,3250
7469,Not Fit,8,16,16,32,32,128,396,1650
7470,Not Fit,11,16,16,32,32,64,204,850
27771,Not Fit,5,16,16,32,32,512,1548,6450
27772,Not Fit,8,16,16,32,32,256,780,3250
27773,Not Fit,11,16,16,32,32,128,396,1650
5361,Not Fit,5,16,16,32,32,512,1548,6450
5362,Not Fit,8,16,16,32,32,256,780,3250
5363,Not Fit,11,16,16,32,32,128,396,1650
39984,Not Fit,5,16,16,32,32,512,1548,6450
39985,Not Fit,8,16,16,32,32,256,780,3250
39986,Not Fit,11,16,16,32,32,128,396,1650
31080,Not Fit,5,16,16,32,32,512,1548,6450
31081,Not Fit,8,16,16,32,32,256,780,3250
31082,Not Fit,11,16,16,32,32,128,396,1650
46269,Not Fit,5,16,16,32,32,512,1548,6450
46270,Not Fit,8,16,16,32,32,256,780,3250
46271,Not Fit,11,16,16,32,32,128,396,1650
34365,Not Fit,5,16,16,32,32,512,1548,6450
34366,Not Fit,8,16,16,32,32,256,780,3250
34367,Not Fit,11,16,16,32,32,128,396,1650
324,Not Fit,5,16,16,32,32,512,1548,6450
325,Not Fit,8,16,16,32,32,256,780,3250
326,Not Fit,11,16,16,32,32,128,396,1650
20995,Not Fit,5,16,16,32,32,512,1548,6450
20996,Not Fit,8,16,16,32,32,256,780,3250
20997,Not Fit,11,16,16,32,32,128,396,1650
17313,Not Fit,5,16,16,32,32,512,1548,6450
17314,Not Fit,8,16,16,32,32,256,780,3250
17315,Not Fit,11,16,16,32,32,128,396,1650
47604,Not Fit,5,16,16,32,32,512,1548,6450
47605,Not Fit,8,16,16,32,32,256,780,3250
47606,Not Fit,11,16,16,32,32,128,396,1650
28297,Not Fit,5,16,16,32,32,512,1548,6450
28298,Not Fit,8,16,16,32,32,256,780,3250
28299,Not Fit,11,16,16,32,32,128,396,1650
28851,Not Fit,5,16,16,32,32,512,1548,6450
28852,Not Fit,8,16,16,32,32,256,780,3250
28853,Not Fit,11,16,16,32,32,128,396,1650
22074,Not Fit,5,16,16,32,32,512,1548,6450
22075,Not Fit,8,16,16,32,32,256,780,3250
22076,Not Fit,11,16,16,32,32,128,396,1650
12811,Not Fit,5,16,16,32,32,512,1548,6450
12812,Not Fit,8,16,16,32,32,256,780,3250
12813,Not Fit,11,16,16,32,32,128,396,1650
13286,Not Fit,5,16,16,32,32,512,1548,6450
13287,Not Fit,8,16,16,32,32,256,780,3250
13288,Not Fit,11,16,16,32,32,128,396,1650
30502,Not Fit,5,16,16,32,32,512,1548,6450
30503,Not Fit,8,16,16,32,32,256,780,3250
30504,Not Fit,11,16,16,32,32,128,396,1650
46482,Not Fit,5,16,16,32,32,512,1548,6450
46483,Not Fit,8,16,16,32,32,256,780,3250
46484,Not Fit,11,16,16,32,32,128,396,1650
20971,Not Fit,5,16,16,32,32,512,1548,6450
20972,Not Fit,8,16,16,32,32,256,780,3250
20973,Not Fit,11,16,16,32,32,128,396,1650
23190,Not Fit,2,32,24,16,1,128,780,4420
12565,Not Fit,2,32,24,16,1,256,1548,8772
4857,Not Fit,2,32,24,16,1,512,3084,17476
10348,Fit,5,32,24,16,16,128,396,2244
10349,Fit,8,32,24,16,16,64,204,1156
10350,Fit,11,32,24,16,16,32,108,612
11624,Fit,5,32,24,16,16,128,396,2244
11625,Fit,8,32,24,16,16,64,204,1156
11626,Fit,11,32,24,16,16,32,108,612
40084,Fit,5,32,24,16,16,128,396,2244
40085,Fit,8,32,24,16,16,64,204,1156
40086,Fit,11,32,24,16,16,32,108,612
23699,Not Fit,5,32,24,16,16,128,396,2244
23700,Not Fit,8,32,24,16,16,64,204,1156
23701,Not Fit,11,32,24,16,16,32,108,612
40590,Fit,5,32,24,16,16,128,396,2244
40591,Fit,8,32,24,16,16,64,204,1156
40592,Fit,11,32,24,16,16,32,108,612
19559,Fit,5,32,24,16,16,128,396,2244
19560,Fit,8,32,24,16,16,64,204,1156
19561,Fit,11,32,24,16,16,32,108,612
1446,Fit,5,32,24,16,16,128,396,2244
1447,Fit,8,32,24,16,16,64,204,1156
1448,Fit,11,32,24,16,16,32,108,612
31820,Fit,5,32,24,16,16,128,396,2244
31821,Fit,8,32,24,16,16,64,204,1156
31822,Fit,11,32,24,16,16,32,108,612
33395,Not Fit,5,32,24,16,16,128,396,2244
33396,Not Fit,8,32,24,16,16,64,204,1156
33397,Not Fit,11,32,24,16,16,32,108,612
45556,Fit,5,32,24,16,16,128,396,2244
45557,Fit,8,32,24,16,16,64,204,1156
45558,Fit,11,32,24,16,16,32,108,612
32235,Fit,5,32,24,16,16,128,396,2244
32234,Fit,8,32,24,16,16,64,204,1156
32236,Fit,11,32,24,16,16,32,108,612
27751,Fit,5,32,24,16,16,128,396,2244
27753,Fit,8,32,24,16,16,64,204,1156
27752,Fit,11,32,24,16,16,32,108,612
17956,Fit,5,32,24,16,16,128,396,2244
17957,Fit,8,32,24,16,16,64,204,1156
17958,Fit,11,32,24,16,16,32,108,612
17869,Fit,5,32,24,16,16,128,396,2244
17870,Fit,8,32,24,16,16,64,204,1156
17871,Fit,11,32,24,16,16,32,108,612
2956,Not Fit,5,32,24,16,16,128,396,2244
2955,Not Fit,8,32,24,16,16,64,204,1156
2957,Not Fit,11,32,24,16,16,32,108,612
7524,Fit,5,32,24,16,16,128,396,2244
7525,Fit,8,32,24,16,16,64,204,1156
7526,Fit,11,32,24,16,16,32,108,612
14454,Fit,5,32,24,16,16,128,396,2244
14455,Fit,8,32,24,16,16,64,204,1156
14456,Fit,11,32,24,16,16,32,108,612
25724,Not Fit,5,32,24,16,16,128,396,2244
25726,Not Fit,8,32,24,16,16,64,204,1156
25725,Not Fit,11,32,24,16,16,32,108,612
37741,Fit,5,32,24,16,16,128,396,2244
37742,Fit,8,32,24,16,16,64,204,1156
37743,Fit,11,32,24,16,16,32,108,612
42700,Not Fit,5,32,24,16,16,128,396,2244
42701,Not Fit,8,32,24,16,16,64,204,1156
42702,Not Fit,11,32,24,16,16,32,108,612
8822,Fit,5,32,24,16,16,128,396,2244
8823,Fit,8,32,24,16,16,64,204,1156
8824,Fit,11,32,24,16,16,32,108,612
45481,Not Fit,5,32,24,16,16,128,396,2244
45482,Not Fit,8,32,24,16,16,64,204,1156
45483,Not Fit,11,32,24,16,16,32,108,612
22402,Not Fit,5,32,24,16,16,128,396,2244
22403,Not Fit,8,32,24,16,16,64,204,1156
22404,Not Fit,11,32,24,16,16,32,108,612
38310,Not Fit,5,32,24,16,16,128,396,2244
38311,Not Fit,8,32,24,16,16,64,204,1156
38312,Not Fit,11,32,24,16,16,32,108,612
25839,Not Fit,5,32,24,16,16,128,396,2244
25840,Not Fit,8,32,24,16,16,64,204,1156
25841,Not Fit,11,32,24,16,16,32,108,612
7436,Not Fit,5,32,24,16,16,128,396,2244
7437,Not Fit,8,32,24,16,16,64,204,1156
7438,Not Fit,11,32,24,16,16,32,108,612
14432,Not Fit,5,32,24,16,16,128,396,2244
14433,Not Fit,8,32,24,16,16,64,204,1156
14434,Not Fit,11,32,24,16,16,32,108,612
7598,Not Fit,5,32,24,16,16,128,396,2244
7600,Not Fit,8,32,24,16,16,64,204,1156
7599,Not Fit,11,32,24,16,16,32,108,612
3906,Fit,5,32,24,16,16,128,396,2244
3907,Fit,8,32,24,16,16,64,204,1156
3908,Fit,11,32,24,16,16,32,108,612
16854,Fit,5,32,24,16,16,128,396,2244
16855,Fit,8,32,24,16,16,64,204,1156
16856,Fit,11,32,24,16,16,32,108,612
36382,Fit,5,32,24,16,16,128,396,2244
36383,Fit,8,32,24,16,16,64,204,1156
36384,Fit,11,32,24,16,16,32,108,612
29327,Not Fit,5,32,24,16,16,128,396,2244
29328,Not Fit,8,32,24,16,16,64,204,1156
29329,Not Fit,11,32,24,16,16,32,108,612
36211,Fit,5,32,24,16,16,128,396,2244
36212,Fit,8,32,24,16,16,64,204,1156
36213,Fit,11,32,24,16,16,32,108,612
38873,Fit,5,32,24,16,16,128,396,2244
38874,Fit,8,32,24,16,16,64,204,1156
38875,Fit,11,32,24,16,16,32,108,612
26307,Not Fit,5,32,24,16,16,128,396,2244
26306,Not Fit,8,32,24,16,16,64,204,1156
26308,Not Fit,11,32,24,16,16,32,108,612
6933,Fit,5,32,24,16,16,128,396,2244
6932,Fit,8,32,24,16,16,64,204,1156
6934,Fit,11,32,24,16,16,32,108,612
13892,Not Fit,5,32,24,16,16,128,396,2244
13893,Not Fit,8,32,24,16,16,64,204,1156
13894,Not Fit,11,32,24,16,16,32,108,612
7091,Not Fit,5,32,24,16,16,128,396,2244
7093,Not Fit,8,32,24,16,16,64,204,1156
7092,Not Fit,11,32,24,16,16,32,108,612
8045,Not Fit,5,32,24,16,16,128,396,2244
8046,Not Fit,8,32,24,16,16,64,204,1156
8047,Not Fit,11,32,24,16,16,32,108,612
45055,Not Fit,5,32,24,16,16,128,396,2244
45056,Not Fit,8,32,24,16,16,64,204,1156
45057,Not Fit,11,32,24,16,16,32,108,612
23182,Not Fit,5,32,24,16,16,128,396,2244
23184,Not Fit,8,32,24,16,16,64,204,1156
23183,Not Fit,11,32,24,16,16,32,108,612
7032,Fit,5,32,24,16,16,256,780,4420
7034,Fit,8,32,24,16,16,128,396,2244
7033,Fit,11,32,24,16,16,64,204,1156
13763,Not Fit,5,32,24,16,16,256,780,4420
13764,Not Fit,8,32,24,16,16,128,396,2244
13765,Not Fit,11,32,24,16,16,64,204,1156
38350,Fit,5,32,24,16,16,256,780,4420
38351,Fit,8,32,24,16,16,128,396,2244
38352,Fit,11,32,24,16,16,64,204,1156
26850,Not Fit,5,32,24,16,16,256,780,4420
26851,Not Fit,8,32,24,16,16,128,396,2244
26852,Not Fit,11,32,24,16,16,64,204,1156
38745,Fit,5,32,24,16,16,256,780,4420
38747,Fit,8,32,24,16,16,128,396,2244
38746,Fit,11,32,24,16,16,64,204,1156
42427,Not Fit,5,32,24,16,16,256,780,4420
42428,Not Fit,8,32,24,16,16,128,396,2244
42429,Not Fit,11,32,24,16,16,64,204,1156
33089,Fit,5,32,24,16,16,256,780,4420
33090,Fit,8,32,24,16,16,128,396,2244
33091,Fit,11,32,24,16,16,64,204,1156
1669,Fit,5,32,24,16,16,256,780,4420
1670,Fit,8,32,24,16,16,128,396,2244
1671,Fit,11,32,24,16,16,64,204,1156
1499,Fit,5,32,24,16,16,256,780,4420
1500,Fit,8,32,24,16,16,128,396,2244
1501,Fit,11,32,24,16,16,64,204,1156
19368,Not Fit,5,32,24,16,16,256,780,4420
19367,Not Fit,8,32,24,16,16,128,396,2244
19369,Not Fit,11,32,24,16,16,64,204,1156
2855,Fit,5,32,24,16,16,256,780,4420
2856,Fit,8,32,24,16,16,128,396,2244
2857,Fit,11,32,24,16,16,64,204,1156
37318,Fit,5,32,24,16,16,256,780,4420
37319,Fit,8,32,24,16,16,128,396,2244
37320,Fit,11,32,24,16,16,64,204,1156
48346,Fit,5,32,24,16,16,256,780,4420
48347,Fit,8,32,24,16,16,128,396,2244
48348,Fit,11,32,24,16,16,64,204,1156
37566,Fit,5,32,24,16,16,256,780,4420
37567,Fit,8,32,24,16,16,128,396,2244
37568,Fit,11,32,24,16,16,64,204,1156
9440,Fit,5,32,24,16,16,256,780,4420
9441,Fit,8,32,24,16,16,128,396,2244
9442,Fit,11,32,24,16,16,64,204,1156
11187,Not Fit,5,32,24,16,16,256,780,4420
11188,Not Fit,8,32,24,16,16,128,396,2244
11189,Not Fit,11,32,24,16,16,64,204,1156
41184,Fit,5,32,24,16,16,256,780,4420
41185,Fit,8,32,24,16,16,128,396,2244
41186,Fit,11,32,24,16,16,64,204,1156
23944,Not Fit,5,32,24,16,16,256,780,4420
23945,Not Fit,8,32,24,16,16,128,396,2244
23946,Not Fit,11,32,24,16,16,64,204,1156
40694,Fit,5,32,24,16,16,256,780,4420
40695,Fit,8,32,24,16,16,128,396,2244
40696,Fit,11,32,24,16,16,64,204,1156
43843,Not Fit,5,32,24,16,16,256,780,4420
43844,Not Fit,8,32,24,16,16,128,396,2244
43845,Not Fit,11,32,24,16,16,64,204,1156
22318,Fit,5,32,24,16,16,256,780,4420
22319,Fit,8,32,24,16,16,128,396,2244
22320,Fit,11,32,24,16,16,64,204,1156
41335,Not Fit,5,32,24,16,16,256,780,4420
41337,Not Fit,8,32,24,16,16,128,396,2244
41336,Not Fit,11,32,24,16,16,64,204,1156
12996,Fit,5,32,24,16,16,256,780,4420
12997,Fit,8,32,24,16,16,128,396,2244
12998,Fit,11,32,24,16,16,64,204,1156
9140,Not Fit,5,32,24,16,16,256,780,4420
9141,Not Fit,8,32,24,16,16,128,396,2244
9142,Not Fit,11,32,24,16,16,64,204,1156
13240,Not Fit,5,32,24,16,16,256,780,4420
13241,Not Fit,8,32,24,16,16,128,396,2244
13242,Not Fit,11,32,24,16,16,64,204,1156
14315,Not Fit,5,32,24,16,16,256,780,4420
14317,Not Fit,8,32,24,16,16,128,396,2244
14316,Not Fit,11,32,24,16,16,64,204,1156
42569,Not Fit,5,32,24,16,16,256,780,4420
42570,Not Fit,8,32,24,16,16,128,396,2244
42571,Not Fit,11,32,24,16,16,64,204,1156
26282,Not Fit,5,32,24,16,16,256,780,4420
26283,Not Fit,8,32,24,16,16,128,396,2244
26284,Not Fit,11,32,24,16,16,64,204,1156
25936,Not Fit,5,32,24,16,16,256,780,4420
25937,Not Fit,8,32,24,16,16,128,396,2244
25938,Not Fit,11,32,24,16,16,64,204,1156
42953,Not Fit,5,32,24,16,16,256,780,4420
42954,Not Fit,8,32,24,16,16,128,396,2244
42955,Not Fit,11,32,24,16,16,64,204,1156
38259,Not Fit,5,32,24,16,16,256,780,4420
38260,Not Fit,8,32,24,16,16,128,396,2244
38261,Not Fit,11,32,24,16,16,64,204,1156
1890,Fit,5,32,24,16,16,256,780,4420
1891,Fit,8,32,24,16,16,128,396,2244
1892,Fit,11,32,24,16,16,64,204,1156
20437,Not Fit,5,32,24,16,16,256,780,4420
20438,Not Fit,8,32,24,16,16,128,396,2244
20439,Not Fit,11,32,24,16,16,64,204,1156
32712,Fit,5,32,24,16,16,256,780,4420
32713,Fit,8,32,24,16,16,128,396,2244
32714,Fit,11,32,24,16,16,64,204,1156
49645,Fit,5,32,24,16,16,256,780,4420
49646,Fit,8,32,24,16,16,128,396,2244
49647,Fit,11,32,24,16,16,64,204,1156
31221,Not Fit,5,32,24,16,16,256,780,4420
31223,Not Fit,8,32,24,16,16,128,396,2244
31222,Not Fit,11,32,24,16,16,64,204,1156
32556,Not Fit,5,32,24,16,16,256,780,4420
32557,Not Fit,8,32,24,16,16,128,396,2244
32558,Not Fit,11,32,24,16,16,64,204,1156
13721,Not Fit,5,32,24,16,16,256,780,4420
13722,Not Fit,8,32,24,16,16,128,396,2244
13723,Not Fit,11,32,24,16,16,64,204,1156
42009,Not Fit,5,32,24,16,16,256,780,4420
42010,Not Fit,8,32,24,16,16,128,396,2244
42011,Not Fit,11,32,24,16,16,64,204,1156
26873,Not Fit,5,32,24,16,16,256,780,4420
26874,Not Fit,8,32,24,16,16,128,396,2244
26875,Not Fit,11,32,24,16,16,64,204,1156
26422,Not Fit,5,32,24,16,16,256,780,4420
26423,Not Fit,8,32,24,16,16,128,396,2244
26424,Not Fit,11,32,24,16,16,64,204,1156
42452,Not Fit,5,32,24,16,16,256,780,4420
42453,Not Fit,8,32,24,16,16,128,396,2244
42454,Not Fit,11,32,24,16,16,64,204,1156
38785,Not Fit,5,32,24,16,16,256,780,4420
38786,Not Fit,8,32,24,16,16,128,396,2244
38787,Not Fit,11,32,24,16,16,64,204,1156
23031,Not Fit,5,32,24,16,16,256,780,4420
23030,Not Fit,8,32,24,16,16,128,396,2244
23032,Not Fit,11,32,24,16,16,64,204,1156
44808,Not Fit,5,32,24,16,16,256,780,4420
44810,Not Fit,8,32,24,16,16,128,396,2244
44809,Not Fit,11,32,24,16,16,64,204,1156
41498,Not Fit,5,32,24,16,16,256,780,4420
41499,Not Fit,8,32,24,16,16,128,396,2244
41500,Not Fit,11,32,24,16,16,64,204,1156
12371,Not Fit,5,32,24,16,16,256,780,4420
12372,Not Fit,8,32,24,16,16,128,396,2244
12373,Not Fit,11,32,24,16,16,64,204,1156
8366,Not Fit,5,32,24,16,16,256,780,4420
8367,Not Fit,8,32,24,16,16,128,396,2244
8368,Not Fit,11,32,24,16,16,64,204,1156
12558,Not Fit,5,32,24,16,16,256,780,4420
12560,Not Fit,8,32,24,16,16,128,396,2244
12559,Not Fit,11,32,24,16,16,64,204,1156
2128,Fit,5,32,24,16,16,512,1548,8772
2129,Fit,8,32,24,16,16,256,780,4420
2130,Fit,11,32,24,16,16,128,396,2244
32367,Not Fit,5,32,24,16,16,512,1548,8772
32369,Not Fit,8,32,24,16,16,256,780,4420
32368,Not Fit,11,32,24,16,16,128,396,2244
45901,Not Fit,5,32,24,16,16,512,1548,8772
45902,Not Fit,8,32,24,16,16,256,780,4420
45903,Not Fit,11,32,24,16,16,128,396,2244
32822,Fit,5,32,24,16,16,512,1548,8772
32823,Fit,8,32,24,16,16,256,780,4420
32824,Fit,11,32,24,16,16,128,396,2244
43637,Fit,5,32,24,16,16,512,1548,8772
43638,Fit,8,32,24,16,16,256,780,4420
43639,Fit,11,32,24,16,16,128,396,2244
24517,Fit,5,32,24,16,16,512,1548,8772
24518,Fit,8,32,24,16,16,256,780,4420
24519,Fit,11,32,24,16,16,128,396,2244
16033,Not Fit,5,32,24,16,16,512,1548,8772
16034,Not Fit,8,32,24,16,16,256,780,4420
16035,Not Fit,11,32,24,16,16,128,396,2244
15805,Fit,5,32,24,16,16,512,1548,8772
15806,Fit,8,32,24,16,16,256,780,4420
15807,Fit,11,32,24,16,16,128,396,2244
6210,Not Fit,5,32,24,16,16,512,1548,8772
6211,Not Fit,8,32,24,16,16,256,780,4420
6212,Not Fit,11,32,24,16,16,128,396,2244
11903,Fit,5,32,24,16,16,512,1548,8772
11904,Fit,8,32,24,16,16,256,780,4420
11905,Fit,11,32,24,16,16,128,396,2244
10294,Not Fit,5,32,24,16,16,512,1548,8772
10295,Not Fit,8,32,24,16,16,256,780,4420
10296,Not Fit,11,32,24,16,16,128,396,2244
23205,Fit,5,32,24,16,16,512,1548,8772
23206,Fit,8,32,24,16,16,256,780,4420
23207,Fit,11,32,24,16,16,128,396,2244
40509,Not Fit,5,32,24,16,16,512,1548,8772
40510,Not Fit,8,32,24,16,16,256,780,4420
40511,Not Fit,11,32,24,16,16,128,396,2244
44413,Fit,5,32,24,16,16,512,1548,8772
44414,Fit,8,32,24,16,16,256,780,4420
44415,Fit,11,32,24,16,16,128,396,2244
23657,Not Fit,5,32,24,16,16,512,1548,8772
23658,Not Fit,8,32,24,16,16,256,780,4420
23659,Not Fit,11,32,24,16,16,128,396,2244
4712,Fit,5,32,24,16,16,512,1548,8772
4713,Fit,8,32,24,16,16,256,780,4420
4714,Fit,11,32,24,16,16,128,396,2244
48868,Fit,5,32,24,16,16,512,1548,8772
48869,Fit,8,32,24,16,16,256,780,4420
48870,Fit,11,32,24,16,16,128,396,2244
35671,Fit,5,32,24,16,16,512,1548,8772
35672,Fit,8,32,24,16,16,256,780,4420
35673,Fit,11,32,24,16,16,128,396,2244
