model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_latency,cnn_filters_latency,n_inputs_latency,sequence_length_latency,latency_min,latency_max
41659,Not Fit,11,4,4,16,16,32,108,234
41896,Not Fit,5,4,4,16,16,128,396,858
41897,Not Fit,8,4,4,16,16,64,204,442
41898,Not Fit,11,4,4,16,16,32,108,234
8725,Not Fit,5,4,4,16,16,128,396,858
8726,Not Fit,8,4,4,16,16,64,204,442
8727,Not Fit,11,4,4,16,16,32,108,234
3415,Not Fit,5,4,4,16,16,128,396,858
3416,Not Fit,8,4,4,16,16,64,204,442
3417,Not Fit,11,4,4,16,16,32,108,234
22054,Not Fit,5,4,4,16,16,128,396,858
22055,Not Fit,8,4,4,16,16,64,204,442
22056,Not Fit,11,4,4,16,16,32,108,234
43584,Not Fit,5,4,4,16,16,128,396,858
43585,Not Fit,8,4,4,16,16,64,204,442
43586,Not Fit,11,4,4,16,16,32,108,234
17782,Not Fit,5,4,4,16,16,128,396,858
17783,Not Fit,8,4,4,16,16,64,204,442
17784,Not Fit,11,4,4,16,16,32,108,234
6167,Not Fit,5,4,4,16,16,256,780,1690
6168,Not Fit,8,4,4,16,16,128,396,858
6169,Not Fit,11,4,4,16,16,64,204,442
29745,Not Fit,5,4,4,16,16,256,780,1690
29746,Not Fit,8,4,4,16,16,128,396,858
29747,Not Fit,11,4,4,16,16,64,204,442
15295,Not Fit,5,4,4,16,16,256,780,1690
15296,Not Fit,8,4,4,16,16,128,396,858
15297,Not Fit,11,4,4,16,16,64,204,442
12279,Not Fit,5,4,4,16,16,256,780,1690
12280,Not Fit,8,4,4,16,16,128,396,858
12281,Not Fit,11,4,4,16,16,64,204,442
22111,Not Fit,5,4,4,16,16,256,780,1690
22110,Not Fit,8,4,4,16,16,128,396,858
22112,Not Fit,11,4,4,16,16,64,204,442
43561,Not Fit,5,4,4,16,16,256,780,1690
43563,Not Fit,8,4,4,16,16,128,396,858
43562,Not Fit,11,4,4,16,16,64,204,442
27401,Not Fit,5,4,4,16,16,256,780,1690
27403,Not Fit,8,4,4,16,16,128,396,858
27402,Not Fit,11,4,4,16,16,64,204,442
27526,Not Fit,5,4,4,16,16,256,780,1690
27525,Not Fit,8,4,4,16,16,128,396,858
27527,Not Fit,11,4,4,16,16,64,204,442
12464,Not Fit,5,4,4,16,16,256,780,1690
12466,Not Fit,8,4,4,16,16,128,396,858
12465,Not Fit,11,4,4,16,16,64,204,442
7738,Not Fit,5,4,4,16,16,256,780,1690
7739,Not Fit,8,4,4,16,16,128,396,858
7740,Not Fit,11,4,4,16,16,64,204,442
48747,Not Fit,5,4,4,16,16,256,780,1690
48746,Not Fit,8,4,4,16,16,128,396,858
48748,Not Fit,11,4,4,16,16,64,204,442
25537,Not Fit,5,4,4,16,16,256,780,1690
25538,Not Fit,8,4,4,16,16,128,396,858
25539,Not Fit,11,4,4,16,16,64,204,442
38458,Not Fit,5,4,4,16,16,512,1548,3354
38459,Not Fit,8,4,4,16,16,256,780,1690
38460,Not Fit,11,4,4,16,16,128,396,858
2102,Not Fit,5,4,4,16,16,512,1548,3354
2103,Not Fit,8,4,4,16,16,256,780,1690
2104,Not Fit,11,4,4,16,16,128,396,858
43480,Not Fit,5,4,4,16,16,512,1548,3354
43481,Not Fit,8,4,4,16,16,256,780,1690
43482,Not Fit,11,4,4,16,16,128,396,858
12507,Not Fit,5,4,4,16,16,512,1548,3354
12509,Not Fit,8,4,4,16,16,256,780,1690
12508,Not Fit,11,4,4,16,16,128,396,858
8961,Not Fit,5,4,4,32,32,128,396,858
8963,Not Fit,8,4,4,32,32,64,204,442
8962,Not Fit,11,4,4,32,32,32,108,234
1525,Not Fit,5,4,4,32,32,128,396,858
1526,Not Fit,8,4,4,32,32,64,204,442
1524,Not Fit,11,4,4,32,32,32,108,234
38227,Not Fit,5,4,4,32,32,128,396,858
38226,Not Fit,8,4,4,32,32,64,204,442
38228,Not Fit,11,4,4,32,32,32,108,234
32039,Not Fit,5,4,4,32,32,256,780,1690
32040,Not Fit,8,4,4,32,32,128,396,858
32041,Not Fit,11,4,4,32,32,64,204,442
33553,Not Fit,2,16,12,16,1,128,780,2990
19296,Not Fit,2,16,12,16,1,256,1548,5934
6098,Not Fit,2,16,12,16,1,512,3084,11822
13113,Not Fit,2,16,12,32,1,128,780,2990
7476,Not Fit,2,16,12,32,1,256,1548,5934
20976,Not Fit,2,16,12,32,1,512,3084,11822
824,Fit,5,16,16,16,16,128,396,1782
825,Fit,8,16,16,16,16,64,204,918
826,Fit,11,16,16,16,16,32,108,486
34148,Fit,5,16,16,16,16,128,396,1782
34149,Fit,8,16,16,16,16,64,204,918
34150,Fit,11,16,16,16,16,32,108,486
46612,Not Fit,5,16,16,16,16,128,396,1782
46613,Not Fit,8,16,16,16,16,64,204,918
46614,Not Fit,11,16,16,16,16,32,108,486
33627,Fit,5,16,16,16,16,128,396,1782
33629,Fit,8,16,16,16,16,64,204,918
33628,Fit,11,16,16,16,16,32,108,486
30253,Not Fit,5,16,16,16,16,128,396,1782
30254,Not Fit,8,16,16,16,16,64,204,918
30255,Not Fit,11,16,16,16,16,32,108,486
12416,Fit,5,16,16,16,16,128,396,1782
12417,Fit,8,16,16,16,16,64,204,918
12418,Fit,11,16,16,16,16,32,108,486
44849,Fit,5,16,16,16,16,128,396,1782
44850,Fit,8,16,16,16,16,64,204,918
44851,Fit,11,16,16,16,16,32,108,486
23051,Fit,5,16,16,16,16,128,396,1782
23052,Fit,8,16,16,16,16,64,204,918
23053,Fit,11,16,16,16,16,32,108,486
22606,Fit,5,16,16,16,16,128,396,1782
22607,Fit,8,16,16,16,16,64,204,918
22608,Fit,11,16,16,16,16,32,108,486
45126,Not Fit,5,16,16,16,16,128,396,1782
45127,Not Fit,8,16,16,16,16,64,204,918
45128,Not Fit,11,16,16,16,16,32,108,486
41872,Not Fit,5,16,16,16,16,128,396,1782
41874,Not Fit,8,16,16,16,16,64,204,918
41873,Not Fit,11,16,16,16,16,32,108,486
26895,Fit,5,16,16,16,16,128,396,1782
26896,Fit,8,16,16,16,16,64,204,918
26897,Fit,11,16,16,16,16,32,108,486
42031,Fit,5,16,16,16,16,128,396,1782
42032,Fit,8,16,16,16,16,64,204,918
42033,Fit,11,16,16,16,16,32,108,486
38372,Not Fit,5,16,16,16,16,128,396,1782
38373,Not Fit,8,16,16,16,16,64,204,918
38374,Not Fit,11,16,16,16,16,32,108,486
13742,Fit,5,16,16,16,16,128,396,1782
13741,Fit,8,16,16,16,16,64,204,918
13743,Fit,11,16,16,16,16,32,108,486
6995,Not Fit,5,16,16,16,16,128,396,1782
6996,Not Fit,8,16,16,16,16,64,204,918
6997,Not Fit,11,16,16,16,16,32,108,486
13975,Not Fit,5,16,16,16,16,128,396,1782
13977,Not Fit,8,16,16,16,16,64,204,918
13976,Not Fit,11,16,16,16,16,32,108,486
3554,Fit,5,16,16,16,16,128,396,1782
3555,Fit,8,16,16,16,16,64,204,918
3556,Fit,11,16,16,16,16,32,108,486
36875,Fit,5,16,16,16,16,128,396,1782
36876,Fit,8,16,16,16,16,64,204,918
36877,Fit,11,16,16,16,16,32,108,486
37187,Fit,5,16,16,16,16,128,396,1782
37186,Fit,8,16,16,16,16,64,204,918
37188,Fit,11,16,16,16,16,32,108,486
48528,Not Fit,5,16,16,16,16,128,396,1782
48529,Not Fit,8,16,16,16,16,64,204,918
48530,Not Fit,11,16,16,16,16,32,108,486
27097,Not Fit,5,16,16,16,16,128,396,1782
27098,Not Fit,8,16,16,16,16,64,204,918
27099,Not Fit,11,16,16,16,16,32,108,486
2243,Fit,5,16,16,16,16,128,396,1782
2244,Fit,8,16,16,16,16,64,204,918
2245,Fit,11,16,16,16,16,32,108,486
20010,Not Fit,5,16,16,16,16,128,396,1782
20011,Not Fit,8,16,16,16,16,64,204,918
20012,Not Fit,11,16,16,16,16,32,108,486
32448,Fit,5,16,16,16,16,128,396,1782
32449,Fit,8,16,16,16,16,64,204,918
32450,Fit,11,16,16,16,16,32,108,486
31645,Not Fit,5,16,16,16,16,128,396,1782
31646,Not Fit,8,16,16,16,16,64,204,918
31647,Not Fit,11,16,16,16,16,32,108,486
32995,Not Fit,5,16,16,16,16,128,396,1782
32996,Not Fit,8,16,16,16,16,64,204,918
32997,Not Fit,11,16,16,16,16,32,108,486
36819,Not Fit,5,16,16,16,16,128,396,1782
36820,Not Fit,8,16,16,16,16,64,204,918
36821,Not Fit,11,16,16,16,16,32,108,486
3665,Not Fit,5,16,16,16,16,128,396,1782
3666,Not Fit,8,16,16,16,16,64,204,918
3667,Not Fit,11,16,16,16,16,32,108,486
3385,Not Fit,5,16,16,16,16,128,396,1782
3386,Not Fit,8,16,16,16,16,64,204,918
3387,Not Fit,11,16,16,16,16,32,108,486
5817,Fit,5,16,16,16,16,128,396,1782
5818,Fit,8,16,16,16,16,64,204,918
5819,Fit,11,16,16,16,16,32,108,486
39565,Not Fit,5,16,16,16,16,128,396,1782
39566,Not Fit,8,16,16,16,16,64,204,918
39567,Not Fit,11,16,16,16,16,32,108,486
43161,Not Fit,5,16,16,16,16,128,396,1782
43162,Not Fit,8,16,16,16,16,64,204,918
43163,Not Fit,11,16,16,16,16,32,108,486
39685,Fit,5,16,16,16,16,128,396,1782
39686,Fit,8,16,16,16,16,64,204,918
39687,Fit,11,16,16,16,16,32,108,486
25198,Not Fit,5,16,16,16,16,128,396,1782
25199,Not Fit,8,16,16,16,16,64,204,918
25200,Not Fit,11,16,16,16,16,32,108,486
37298,Not Fit,5,16,16,16,16,128,396,1782
37299,Not Fit,8,16,16,16,16,64,204,918
37300,Not Fit,11,16,16,16,16,32,108,486
2807,Not Fit,5,16,16,16,16,128,396,1782
2808,Not Fit,8,16,16,16,16,64,204,918
2809,Not Fit,11,16,16,16,16,32,108,486
2613,Not Fit,5,16,16,16,16,128,396,1782
