model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_latency,n_inputs_latency,sequence_length_latency,reuse_factor_1,n_inputs_latency_1,lstm_size,latency_min,latency_max
31451,Not Fit,9,512,512,32,64,512,32,32,35073,35137
47534,Fit,8,512,512,32,64,512,32,8,35009,35073
46889,Fit,8,512,512,32,64,512,32,16,35041,35105
10383,Not Fit,8,512,512,32,64,512,32,32,35073,35137
28879,Fit,8,512,512,32,64,512,32,8,35073,35137
3180,Not Fit,8,512,512,32,64,512,32,16,35073,35137
43024,Not Fit,9,512,512,32,64,512,32,32,35073,35137
44562,Fit,5,512,512,32,128,512,32,8,70017,70145
40720,Not Fit,5,512,512,32,128,512,32,16,70081,70209
12052,Not Fit,5,512,512,32,128,512,32,8,70145,70273
9249,Not Fit,5,512,512,32,128,512,32,16,70145,70273
48075,Fit,8,512,512,32,128,512,32,8,70017,70145
39543,Not Fit,8,512,512,32,128,512,32,16,70081,70209
41918,Not Fit,8,512,512,32,128,512,32,8,70145,70273
42745,Not Fit,8,512,512,32,128,512,32,16,70145,70273
7117,Fit,5,512,512,32,256,512,32,8,140033,140289
42113,Not Fit,5,512,512,32,256,512,32,8,140033,140289
37508,Not Fit,5,512,512,32,256,512,32,8,140289,140545
26327,Not Fit,5,512,512,32,256,512,32,8,140289,140545
2367,Not Fit,5,512,512,32,256,512,32,8,140289,140545
13093,Not Fit,5,512,512,32,256,512,32,8,140289,140545
