layer_name,reuse_factor,dense_size,n_in,sequence_length,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
dense_18030,32,32,512,1,255053.911536688,107032.744667871,455.0,1024.0,75.7577344395637,76.7577344395637
dense_18030,64,32,512,1,72443.8815194484,42757.0480357775,224.58,504.32,106.427815817466,107.427815817466
dense_18030,128,32,512,1,45239.4211500221,39431.1592272311,29.0,64.0,172.915042441209,173.915042441209
dense_18030,256,32,512,1,45239.4211500221,39431.1592272311,29.0,64.0,172.915042441209,173.915042441209
dense_18046,32,64,512,1,279638.053926327,73650.9629662737,616.74,1387.52,74.5754097741525,75.5754097741525
dense_18046,64,64,512,1,145877.992785233,52533.1696514904,415.3,934.4,108.353574495784,109.353574495784
dense_18046,128,64,512,1,78415.9280837167,45943.0893159061,57.0,128.0,172.198042311644,173.198042311644
dense_18046,256,64,512,1,78415.9280837167,45943.0893159061,57.0,128.0,172.198042311644,173.198042311644
