layer_name,reuse_factor,sequence_length,cnn_filters,cnn_in,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
conv1d_15939,2,32,32,32,222586.825944665,75568.9958452381,342.0,768.0,108.0,198.0
conv1d_15939,3,32,32,32,231959.631948413,75568.9958452381,342.0,768.0,108.0,198.0
conv1d_15939,4,32,32,32,231959.631948413,75568.9958452381,342.0,768.0,108.0,234.0
conv1d_15939,6,32,32,32,231959.631948413,75568.9958452381,342.0,768.0,108.0,234.0
conv1d_15939,8,32,32,32,231959.631948413,75568.9958452381,342.0,768.0,108.0,234.0
conv1d_15939,12,32,32,32,69292.9711659041,22641.9134977123,86.0,192.0,108.0,450.0
conv1d_15939,16,32,32,32,69292.9711659041,22641.9134977123,86.0,192.0,108.0,450.0
conv1d_15939,24,32,32,32,43308.6784506957,20017.019329951,47.73,127.68,108.0,620.1
conv1d_15939,32,32,32,32,42226.0,17781.0,43.0,96.0,108.0,774.0
conv1d_15939,48,32,32,32,32818.0,12342.0,29.0,64.0,108.0,1044.0
conv1d_15939,96,32,32,32,10652.1013345941,6922.0,14.0,32.0,108.0,1908.0
conv1d_15939,192,32,32,32,10652.1013345941,6922.0,14.0,32.0,108.0,1908.0
conv1d_15939,384,32,32,32,10748.2813434447,5362.0,4.0,8.0,108.0,7110.0
conv1d_15939,768,32,32,32,10748.2813434447,5362.0,4.0,8.0,108.0,7110.0
conv1d_15939,1536,32,32,32,10748.2813434447,5362.0,4.0,8.0,108.0,7110.0
conv1d_15939,3072,32,32,32,10748.2813434447,5362.0,4.0,8.0,108.0,7110.0
